n,hrg_deg,low,high,rep
65536,95.7999,94.3966,148.003,26
131072,97.8504,96.9522,151.171,26
262144,98.8313,84.412,153.073,26
524288,99.3933,94.676,154.72,26
1048576,100.226,93.8253,156.017,26
2097152,100.873,99.1195,157.811,26
4096,96.6899,84.6981,145.224,27
8192,99.791,89.3247,150.271,27
16384,101.231,93.9356,153.626,27
32768,95.9056,89.7804,147.417,27
65536,98.0126,93.3608,151.422,27
131072,101.992,96.8722,157.569,27
262144,100.129,98.9363,155.474,27
524288,101.752,91.915,157.994,27
1048576,99.8067,99.1634,156.143,27
2097152,100.978,100.051,157.976,27
4096,100.691,90.1306,150.447,28
8192,94.4258,90.4606,144.405,28
16384,99.5508,88.293,151.076,28
32768,100.292,90.0473,153.376,28
65536,98.9412,96.6803,152.856,28
131072,104.001,93.0928,160.267,28
262144,100.882,96.0939,156.643,28
524288,99.2278,98.0455,154.462,28
1048576,102.713,87.4466,159.486,28
2097152,99.3212,98.4094,155.383,28
4096,99.2622,86.1371,148.699,29
8192,100.417,96.2005,151.999,29
16384,93.8845,87.6317,143.211,29
32768,102.264,86.7849,155.993,29
65536,95.7705,92.0108,147.584,29
131072,101.787,95.5645,156.458,29
262144,101.012,95.6654,156.45,29
524288,104.273,92.196,161.501,29
1048576,98.1234,97.7592,153.126,29
2097152,99.1221,98.7543,155.072,29
4096,95.1909,88.5908,142.972,30
8192,98.0818,90.2084,148.081,30
16384,98.9564,94.801,150.561,30
32768,98.232,85.2431,150.226,30
65536,106.384,84.7544,162.693,30
131072,100.266,94.9591,155.295,30
262144,103.285,94.4293,159.971,30
524288,100.192,92.6967,155.962,30
1048576,98.5398,97.6353,154.161,30
2097152,101.08,97.1117,157.74,30
4096,91.4272,82.4631,138.391,31
8192,100.263,88.1024,149.807,31
16384,101.335,85.4421,153.388,31
32768,99.9797,93.3209,153.289,31
65536,99.9644,95.7667,154.437,31
131072,98.9023,96.9127,153.569,31
262144,96.6706,93.4042,150.481,31
524288,101.167,98.855,157.876,31
1048576,99.6293,97.3526,155.476,31
2097152,99.9796,99.0618,156.413,31
4096,95.1265,85.6696,141.389,32
8192,93.3057,87.0914,141.234,32
16384,98.8594,85.5172,150.027,32
32768,100.291,96.3535,154.158,32
65536,97.9781,89.5773,151.369,32
131072,100.793,87.1902,155.324,32
262144,98.9175,96.6571,154.365,32
524288,100.806,99.0536,156.919,32
1048576,100.826,98.2467,156.95,32
2097152,99.3582,96.816,155.053,32
4096,101.062,89.6329,149.026,33
8192,98.1833,92.4496,148.234,33
16384,106.487,97.6476,161.602,33
32768,98.764,88.4053,151.039,33
65536,100.597,96.9227,154.628,33
131072,103.797,90.0722,159.953,33
262144,97.8084,96.9106,151.87,33
524288,99.9803,92.5013,155.633,33
1048576,99.6523,96.5577,155.512,33
2097152,99.3412,98.1576,155.415,33
4096,102.4,93.8999,153,34
8192,98.3052,81.8122,148.034,34
16384,101.455,94.1432,153.173,34
32768,99.4756,90.1303,152.905,34
65536,99.8119,98.3498,154.591,34
131072,98.2693,95.2176,152.202,34
262144,99.9079,95.7125,155.13,34
524288,104.851,99.8743,162.396,34
1048576,99.4076,98.7669,155.519,34
2097152,103.433,86.0795,160.604,34
4096,106.262,92.2111,155.034,35
8192,93.6602,84.6051,141.039,35
16384,99.4897,87.1507,150.595,35
32768,92.8521,88.6992,143.449,35
65536,99.7697,96.3985,153.747,35
131072,95.3231,93.6661,148.384,35
262144,98.8969,97.1778,153.561,35
524288,100.315,99.1202,156.547,35
1048576,98.4758,98.1103,153.676,35
2097152,100.43,98.4093,156.725,35
4096,91.5161,77.6636,135.308,36
8192,100.132,94.5586,152.35,36
16384,100.478,84.4446,152.483,36
32768,99.5267,89.9045,152.595,36
65536,97.8687,95.6322,150.817,36
131072,99.0773,94.9169,153.841,36
262144,99.3313,97.8762,154.235,36
524288,102.233,95.4241,158.741,36
1048576,100.396,99.4744,156.673,36
2097152,99.4664,99.0973,155.611,36
4096,95.2559,83.7024,141.209,37
8192,95.0188,91.0288,144.198,37
16384,99.4186,87.632,150.099,37
32768,101.037,97.8995,154.911,37
65536,97.3602,92.2069,150.414,37
131072,99.5211,97.5191,154.141,37
262144,103.613,96.712,160.478,37
524288,98.6782,94.8043,153.607,37
1048576,103.336,98.1487,160.856,37
2097152,99.3139,98.9453,155.372,37
4096,93.2905,85.2916,140.847,38
8192,99.8853,92.6865,150.413,38
16384,87.651,81.9331,134.387,38
32768,100.567,91.1191,154.582,38
65536,101.89,87.8599,156.616,38
131072,104.035,92.8393,159.914,38
262144,101.511,96.6931,157.619,38
524288,101.213,98.9005,157.553,38
1048576,99.242,98.3309,155.259,38
2097152,99.979,99.0613,156.022,38
4096,99.7305,87.0889,148.232,39
8192,97.6597,91.9565,148.588,39
16384,88.7458,74.706,135.372,39
32768,100.511,87.4958,154.104,39
65536,99.1597,97.436,153.194,39
131072,102.358,99.1789,157.735,39
262144,99.3336,98.4218,154.239,39
524288,102.99,99.5103,159.917,39
1048576,100.908,99.1542,157.472,39
2097152,98.7256,97.2794,154.452,39
4096,95.6831,84.8627,142.59,40
8192,99.198,95.8462,149.766,40
16384,94.0986,87.0596,143.905,40
32768,102.172,89.7794,155.453,40
65536,101.568,97.3025,156.517,40
131072,98.7528,94.876,152.951,40
262144,98.9974,98.0886,154.103,40
524288,98.5154,97.8805,153.353,40
1048576,103.088,101.296,160.471,40
2097152,100.447,99.2498,157.144,40
4096,100.771,88.2726,149.384,41
8192,106.418,98.7482,159.419,41
16384,94.6838,87.601,143.69,41
32768,101.546,85.0644,155.294,41
65536,99.3627,96.0053,153.896,41
131072,98.8851,97.1662,153.929,41
262144,96.6933,93.9549,150.139,41
524288,101.255,95.8955,157.618,41
1048576,99.0565,98.6889,154.582,41
2097152,100.001,99.0826,156.446,41
4096,99.8555,92.3858,149.198,42
8192,101.88,91.7518,152.621,42
16384,96.111,88.133,146.607,42
32768,105.329,88.8096,160.668,42
65536,98.179,88.4186,151.295,42
131072,99.2256,98.0434,154.071,42
262144,105.327,98.5997,162.31,42
524288,101.046,85.475,156.898,42
1048576,99.5815,97.8505,155.402,42
2097152,101.343,89.0512,157.755,42
4096,89.2876,84.4396,134.455,43
8192,95.7007,91.4203,145.607,43
16384,97.8549,94.5484,150.414,43
32768,103.816,96.3338,157.954,43
65536,99.0992,97.6476,153.101,43
131072,99.2833,85.6125,153.385,43
