dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimeEdges,GenNumEdge,GenAvgDeg
1,131072,100,inf,2.5,1,143,0,15.2242,5.65,187.56,266.13,6554058,100.007
1,131072,1000,inf,2.5,1,144,0,15.4133,5.9692,486.243,1329.98,65524888,999.83
1,262144,10,inf,2.5,1,145,0,31.3391,12.5278,15.1495,123.967,1310527,9.99853
1,262144,100,inf,2.5,1,146,0,30.8787,12.4016,250.572,616.011,13107684,100.004
1,262144,1000,inf,2.5,1,147,0,33.9155,11.6633,1255.83,3034.25,131078645,1000.05
1,524288,10,inf,2.5,1,148,0,64.5774,22.9469,28.3621,297.615,2619239,9.9916
1,524288,100,inf,2.5,1,149,0,64.5416,23.2826,174.119,1283.91,26208786,99.9786
1,524288,1000,inf,2.5,1,150,0,65.9896,22.9353,1771.16,6886.92,262155537,1000.04
1,1048576,10,inf,2.5,1,151,0,138.268,48.6534,64.8386,617.387,5233402,9.98192
1,1048576,100,inf,2.5,1,152,0,125.702,46.1821,157.891,2693.87,52423890,99.9906
1,1048576,1000,inf,2.5,1,153,0,126.817,47.4245,4216.49,15261.1,524272996,999.971
1,32768,2,inf,2.5,1,154,1,5.951,2.2508,3.3362,15.9708,32299,1.97137
1,32768,4,inf,2.5,1,155,1,4.3414,1.7262,1.6626,10.4705,65472,3.99609
1,32768,8,inf,2.5,1,156,1,3.9452,1.435,3.0706,11.0288,131499,8.02606
1,32768,16,inf,2.5,1,157,1,4.3905,1.4711,2.8006,16.7166,262439,16.018
1,32768,32,inf,2.5,1,158,1,4.6752,1.4678,8.0511,22.8889,524958,32.0409
1,32768,64,inf,2.5,1,159,1,4.1419,1.46,6.1431,33.0333,1049709,64.0692
1,32768,128,inf,2.5,1,160,1,4.1957,1.4613,15.4352,51.6206,2097329,128.011
1,32768,256,inf,2.5,1,161,1,4.0265,1.5133,46.2256,80.2574,4199558,256.321
1,32768,512,inf,2.5,1,162,1,3.8859,1.4252,119.53,215.61,8387937,511.959
1,32768,1024,inf,2.5,1,163,1,4.4155,1.5069,317.115,416.988,16774347,1023.82
1,32768,2048,inf,2.5,1,164,1,4.7272,1.4242,792.705,847.272,33554991,2048.03
1,32768,4096,inf,2.5,1,165,1,4.0144,1.5768,1930.27,1637.46,67110958,4096.13
1,32768,10,inf,2.5,1,166,2,4.0928,1.421,3.6868,13.6122,163052,9.9519
1,32768,10,5,2.5,1,167,2,3.8735,1.7424,11.2413,103.201,163327,9.96869
1,32768,10,4.5,2.5,1,168,2,3.9926,1.4683,9.3431,104.362,163465,9.97711
1,32768,10,4,2.5,1,169,2,3.8033,1.458,9.5694,106.695,163278,9.9657
1,32768,10,3.5,2.5,1,170,2,4.1489,1.4636,14.7011,97.8458,163210,9.96155
1,32768,10,3,2.5,1,171,2,3.8557,1.4562,7.4106,108.634,164296,10.0278
1,32768,10,2.5,2.5,1,172,2,3.8163,1.4571,9.2416,107.938,163631,9.98724
1,32768,10,2,2.5,1,173,2,4.167,1.4711,3.1981,65.1738,163785,9.99664
1,32768,10,inf,2.5,1,174,3,3.8814,1.4534,2.2062,13.1961,163461,9.97687
2,32768,10,inf,2.5,1,175,3,4.1307,1.952,3.1323,27.546,163973,10.0081
3,32768,10,inf,2.5,1,176,3,3.8502,2.3986,21.3519,83.328,163634,9.98743
4,32768,10,inf,2.5,1,177,3,4.2356,2.8772,93.6645,474.18,164084,10.0149
5,32768,10,inf,2.5,1,178,3,3.8943,3.6244,474.036,1531.12,163848,10.0005
1,32768,10,inf,2.5,1,179,4,4.1099,1.4238,7.8056,13.7629,163563,9.98309
2,32768,10,inf,2.5,1,180,4,3.7444,1.8825,2.8216,25.3731,164447,10.037
3,32768,10,inf,2.5,1,181,4,4.0896,2.566,37.8434,82.5429,163751,9.99457
4,32768,10,inf,2.5,1,182,4,3.751,2.8605,98.1993,482.111,163434,9.97522
5,32768,10,inf,2.5,1,183,4,3.7834,3.3234,469.813,1544.98,163308,9.96753
1,32768,10,inf,2.5,2,184,4,4.2365,1.6042,2.2205,8.1948,164130,10.0177
2,32768,10,inf,2.5,2,185,4,3.8516,1.9321,2.9306,16.1271,164186,10.0211
3,32768,10,inf,2.5,2,186,4,3.7746,2.7404,19.5752,47.7264,164172,10.0203
4,32768,10,inf,2.5,2,187,4,4.4796,2.8559,102.452,292.68,164213,10.0228
5,32768,10,inf,2.5,2,188,4,3.8572,3.4398,432.811,1003.03,163023,9.95013
1,32768,10,inf,2.5,3,189,4,4.3794,1.7094,1.9538,6.9065,163473,9.9776
2,32768,10,inf,2.5,3,190,4,3.962,2.1087,2.5476,12.7522,164641,10.0489
3,32768,10,inf,2.5,3,191,4,3.7779,2.7594,34.2794,38.1882,163924,10.0051
4,32768,10,inf,2.5,3,192,4,3.8599,2.9255,93.3056,236.084,164176,10.0205
5,32768,10,inf,2.5,3,193,4,4.2217,3.3567,475.364,777.71,164143,10.0185
1,32768,10,inf,2.5,4,194,4,3.98,1.4957,2.8485,6.1594,164651,10.0495
2,32768,10,inf,2.5,4,195,4,3.9856,2.037,3.6225,9.0105,164427,10.0358
3,32768,10,inf,2.5,4,196,4,3.8804,2.7932,41.1098,30.1458,163620,9.98657
4,32768,10,inf,2.5,4,197,4,3.9249,2.9453,86.6798,167.151,164672,10.0508
5,32768,10,inf,2.5,4,198,4,3.8568,3.4064,365.775,604.675,163879,10.0024
1,32768,10,inf,2.5,5,199,4,4.0562,1.5072,3.4537,7.6698,164392,10.0337
2,32768,10,inf,2.5,5,200,4,4.4076,1.9849,2.758,10.2798,163774,9.99597
3,32768,10,inf,2.5,5,201,4,3.8594,2.5879,36.6911,26.778,164508,10.0408
4,32768,10,inf,2.5,5,202,4,4.3455,2.925,89.0305,159.416,163607,9.98578
5,32768,10,inf,2.5,5,203,4,3.8674,3.4058,453.515,535.875,163740,9.9939
1,32768,10,inf,2.5,6,204,4,4.3079,1.6506,2.4858,6.5396,163424,9.97461
2,32768,10,inf,2.5,6,205,4,5.223,2.6012,4.3056,8.9479,162886,9.94177
3,32768,10,inf,2.5,6,206,4,3.8976,2.702,22.4468,21.2054,162631,9.92621
4,32768,10,inf,2.5,6,207,4,3.8539,3.1722,86.5698,121.713,163902,10.0038
5,32768,10,inf,2.5,6,208,4,3.8534,3.6685,449.847,480.789,164598,10.0463
1,32768,10,2,2.5,1,209,5,4.9646,1.7938,4.941,69.2791,163936,10.0059
2,32768,10,2,2.5,1,210,5,3.8637,1.9725,15.1819,183.853,163783,9.99652
3,32768,10,2,2.5,1,211,5,3.7659,3.5075,13.3589,1096.51,163546,9.98206
4,32768,10,2,2.5,1,212,5,3.6536,3.1963,17.7405,5534.44,163349,9.97003
5,32768,10,2,2.5,1,213,5,3.6832,3.2785,68.7123,25153,164046,10.0126
1,32768,10,2,2.5,2,215,5,4.2088,1.4914,2.6584,37.3621,163976,10.0083
