dimension,n,avgDeg,alpha,ple,threads,seed,plot,TimeWeights,TimePositions,TimeBinary,TimePre,TimeEdges,TimeTotal,GenNumEdge,GenAvgDeg
5,32768,10,2,2.5,5,111,5,3.7547,3.3434,52.3414,7.2543,6779.77,6847.04,163456,9.97656
1,32768,10,2,2.5,6,112,5,4.864,1.6315,3.4565,2.5553,13.3278,26.3504,163797,9.99738
2,32768,10,2,2.5,6,113,5,3.7571,2.1639,4.2555,2.541,37.426,50.6351,163467,9.97723
3,32768,10,2,2.5,6,114,5,4.0306,2.4084,59.6243,3.4699,181.431,251.51,163448,9.97607
4,32768,10,2,2.5,6,115,5,4.0567,2.8711,14.111,6.4237,1117.44,1145.5,163936,10.0059
5,32768,10,2,2.5,6,116,5,3.7555,3.5738,75.4945,7.3516,6026.1,6116.86,163443,9.97577
1,1024,10,inf,2.5,1,117,0,0.1739,0.0603,0.1285,0.0859,0.1674,0.6341,5138,10.0352
1,1024,100,inf,2.5,1,118,0,0.1577,0.0566,2.2354,0.0756,0.7058,3.25,50989,99.5879
1,2048,10,inf,2.5,1,119,0,0.3159,0.1058,0.1762,0.1502,0.3534,1.1293,10232,9.99219
1,2048,100,inf,2.5,1,120,0,0.2393,0.0853,2.8749,0.0969,1.2067,4.5314,102156,99.7617
1,4096,10,inf,2.5,1,121,0,0.7003,0.2091,0.3891,0.5574,0.6823,2.638,20371,9.94678
1,4096,100,inf,2.5,1,122,0,0.5306,0.2036,6.733,0.1962,1.8203,9.5457,205035,100.115
1,4096,1000,inf,2.5,1,123,0,0.4526,0.1665,120.53,0.1841,13.1562,134.552,2048185,1000.09
1,8192,10,inf,2.5,1,124,0,1.0411,0.3515,0.615,0.4564,1.1033,3.6911,40858,9.9751
1,8192,100,inf,2.5,1,125,0,0.9025,0.3502,13.4363,0.3975,3.8043,19.0154,410083,100.118
1,8192,1000,inf,2.5,1,126,0,0.9502,0.3298,122.447,0.37,31.0075,155.226,4098728,1000.67
1,16384,10,inf,2.5,1,127,0,2.0735,0.7314,1.1705,0.9939,2.4084,7.6332,81849,9.99133
1,16384,100,inf,2.5,1,128,0,1.9098,0.71,8.1341,0.9164,7.9221,19.8423,819430,100.028
1,16384,1000,inf,2.5,1,129,0,1.8064,0.6651,194.41,0.7295,70.2744,268.118,8188461,999.568
