[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]gluten,1,HyperGen,21544,10,1,0.0,15.7071,117729,10.9292
[CSV]gluten,1,HyperGen,46415,10,1,0.0,11.1134,234915,10.1224
[CSV]gluten,1,HyperGen,100000,10,1,0.0,20.3109,494909,9.89818
[CSV]gluten,1,HyperGen,215443,10,1,0.0,38.9199,1096299,10.1772
[CSV]gluten,1,HyperGen,464158,10,1,0.0,66.8217,2320818,10.0001
[CSV]gluten,1,HyperGen,1000000,10,1,0.0,145.079,5028065,10.0561
[CSV]gluten,1,HyperGen,2154434,10,1,0.0,339.164,10780216,10.0075
[CSV]gluten,1,HyperGen,4641588,10,1,0.0,740.784,23220037,10.0052
[CSV]gluten,1,HyperGen,10000000,10,1,0.0,1336.35,49999132,9.99983
[CSV]gluten,1,HyperGen,21544346,10,1,0.0,3004.38,106916576,9.92526
[CSV]gluten,1,HyperGen,46415888,10,1,0.0,6266.92,224610492,9.67817
[CSV]gluten,1,HyperGen,100000000,10,1,0.0,12706.6,458707543,9.17415
[CSV]gluten,1,HyperGen,10000,100,1,0.0,23.4419,539463,107.893
[CSV]gluten,1,HyperGen,10000,100,1,0.0,7.40876,521768,104.354
[CSV]gluten,1,HyperGen,21544,100,1,0.0,11.8048,1101508,102.257
[CSV]gluten,1,HyperGen,46415,100,1,0.0,19.302,2418168,104.198
[CSV]gluten,1,HyperGen,100000,100,1,0.0,32.2791,5143069,102.861
[CSV]gluten,1,HyperGen,215443,100,1,0.0,56.8407,10996214,102.08
[CSV]gluten,1,HyperGen,464158,100,1,0.0,101.315,23654031,101.922
[CSV]gluten,1,HyperGen,1000000,100,1,0.0,213.309,50832380,101.665
[CSV]gluten,1,HyperGen,2154434,100,1,0.0,448.778,108662478,100.873
[CSV]gluten,1,HyperGen,4641588,100,1,0.0,915.45,233697558,100.697
[CSV]gluten,1,HyperGen,10000000,100,1,0.0,1916.83,501968635,100.394
[CSV]gluten,1,HyperGen,21544346,100,1,0.0,4364.52,1079150474,100.179
[CSV]gluten,1,HyperGen,46415888,100,1,0.0,9495.96,2324712210,100.169
[CSV]gluten,1,HyperGen,100000000,100,1,0.0,19987.6,4998048137,99.961
[CSV]gluten,1,HyperGen,21544,1000,1,0.0,38.0622,10767995,999.628
[CSV]gluten,1,HyperGen,46415,1000,1,0.0,56.3271,23402025,1008.38
[CSV]gluten,1,HyperGen,100000,1000,1,0.0,82.8791,52148352,1042.97
[CSV]gluten,1,HyperGen,215443,1000,1,0.0,145.077,113614180,1054.7
[CSV]gluten,1,HyperGen,464158,1000,1,0.0,297.666,240256174,1035.23
[CSV]gluten,1,HyperGen,1000000,1000,1,0.0,584.649,514924817,1029.85
[CSV]gluten,1,HyperGen,2154434,1000,1,0.0,1207.24,1098797533,1020.03
[CSV]gluten,1,HyperGen,4641588,1000,1,0.0,2558.31,2355640741,1015.02
[CSV]gluten,1,HyperGen,10000000,1000,1,0.0,5440.32,5056300386,1011.26
[CSV]gluten,1,HyperGen,21544346,1000,1,0.0,11594.3,10850224323,1007.25
[CSV]gluten,1,HyperGen,46415888,1000,1,0.0,24900.9,23306025216,1004.23
[CSV]gluten,1,HyperGen,100000000,1000,1,0.0,53814.8,50188406178,1003.77
[CSV]gluten,2,HyperGen,10000,10,0.6,0.0,35.2647,51147,10.2294
[CSV]gluten,2,HyperGen,10000,10,0.6,0.0,25.204,47161,9.4322
[CSV]gluten,2,HyperGen,21544,10,0.6,0.0,22.628,147542,13.6968
[CSV]gluten,2,HyperGen,46415,10,0.6,0.0,36.1538,219536,9.4597
[CSV]gluten,2,HyperGen,100000,10,0.6,0.0,37.6201,519908,10.3982
[CSV]gluten,2,HyperGen,215443,10,0.6,0.0,55.7463,1118579,10.384
[CSV]gluten,2,HyperGen,464158,10,0.6,0.0,78.1996,2322935,10.0092
[CSV]gluten,2,HyperGen,1000000,10,0.6,0.0,170.767,5014667,10.0293
[CSV]gluten,2,HyperGen,2154434,10,0.6,0.0,346.341,10756986,9.9859
[CSV]gluten,2,HyperGen,4641588,10,0.6,0.0,733.213,24686449,10.6371
[CSV]gluten,2,HyperGen,10000000,10,0.6,0.0,1477.16,50146485,10.0293
[CSV]gluten,2,HyperGen,21544346,10,0.6,0.0,3074.04,109288244,10.1454
