algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,123,215443,1000,1,3,0,12.6062,232.801,17.511,13.7931,201.173,107367938,996.718
hypergirgs,gluten,0,123,464158,1000,1,3,0,14.1456,532.652,37.0956,39.9562,452.368,232167801,1000.38
hypergirgs,gluten,0,123,1000000,1000,1,3,0,15.6828,1104.38,90.7183,77.7209,933.586,498589104,997.178
hypergirgs,gluten,0,123,2154434,1000,1,3,0,17.2189,2327.23,187.001,112.305,2020.16,1075131019,998.064
hypergirgs,gluten,0,123,4641588,1000,1,3,0,18.7545,4764.02,427.975,187.873,4135.81,2323355984,1001.1
hypergirgs,gluten,0,123,10000000,1000,1,3,0,20.2899,10576.7,891.517,362.859,9281.44,5018108387,1003.62
hypergirgs,gluten,0,123,21544346,1000,1,3,0,21.8251,22647.2,1673.45,747.438,20165.2,10754830579,998.39
hypergirgs,gluten,0,123,46415888,1000,1,3,0,23.3602,45299.1,3413.09,1431.48,40313.8,23183936428,998.966
hypergirgs,gluten,0,123,10000,10,0.6,2.2,0.5,20.9825,49.8952,0.83496,38.6735,10.3604,31698,6.3396
hypergirgs,gluten,0,123,21544,10,0.6,2.2,0.5,22.5176,36.3461,2.0483,23.2965,10.9734,66353,6.15977
hypergirgs,gluten,0,123,46415,10,0.6,2.2,0.5,24.0526,69.1366,4.04742,41.5324,23.5319,187517,8.08002
hypergirgs,gluten,0,123,100000,10,0.6,2.2,0.5,25.5877,81.049,7.98034,33.1779,39.8565,403942,8.07884
hypergirgs,gluten,0,123,215443,10,0.6,2.2,0.5,27.1228,133.607,17.3597,48.6195,67.5838,901844,8.372
hypergirgs,gluten,0,123,464158,10,0.6,2.2,0.5,28.6578,306.749,40.5901,80.3026,181.156,1896391,8.17132
hypergirgs,gluten,0,123,1000000,10,0.6,2.2,0.5,30.1929,625.154,135.187,139.738,345.934,4287299,8.5746
hypergirgs,gluten,0,123,2154434,10,0.6,2.2,0.5,31.7279,1134.52,200.698,192.238,730.656,9105909,8.45318
hypergirgs,gluten,0,123,4641588,10,0.6,2.2,0.5,33.263,2303.82,428.637,358.685,1498.5,19269217,8.30286
hypergirgs,gluten,0,123,10000000,10,0.6,2.2,0.5,34.7981,4579.04,817.29,630.422,3095.82,45618516,9.1237
hypergirgs,gluten,0,123,21544346,10,0.6,2.2,0.5,36.3331,9334.67,1652.98,1201.17,6409.86,89912246,8.34671
hypergirgs,gluten,0,123,46415888,10,0.6,2.2,0.5,37.8682,19919.7,3454.14,2448.43,13868.6,198839940,8.56775
hypergirgs,gluten,0,123,10000,100,0.6,2.2,0.5,16.3774,29.1162,0.813734,19.7501,8.53333,245180,49.036
hypergirgs,gluten,0,123,21544,100,0.6,2.2,0.5,17.9124,38.7488,2.04272,21.6996,14.9848,587724,54.5603
hypergirgs,gluten,0,123,46415,100,0.6,2.2,0.5,19.4475,57.0374,4.05186,24.7162,28.2462,1348409,58.1023
hypergirgs,gluten,0,123,100000,100,0.6,2.2,0.5,20.9825,102.83,8.70246,30.5464,63.5241,3189961,63.7992
hypergirgs,gluten,0,123,215443,100,0.6,2.2,0.5,22.5176,196.197,17.3732,49.9302,128.856,7188186,66.7294
hypergirgs,gluten,0,123,464158,100,0.6,2.2,0.5,24.0527,409.158,37.6279,71.0791,300.385,16967496,73.1109
hypergirgs,gluten,0,123,1000000,100,0.6,2.2,0.5,25.5877,816.54,81.2278,78.7136,653.875,36359793,72.7196
hypergirgs,gluten,0,123,2154434,100,0.6,2.2,0.5,27.1228,1858.03,178.388,161.89,1502.04,84338045,78.2925
hypergirgs,gluten,0,123,4641588,100,0.6,2.2,0.5,28.6578,3720.29,463.646,226.958,3015.33,184749259,79.6061
hypergirgs,gluten,0,123,10000000,100,0.6,2.2,0.5,30.1929,8077.21,923.057,412.27,6712.91,411501667,82.3003
hypergirgs,gluten,0,123,21544346,100,0.6,2.2,0.5,31.7279,17747.1,1973.09,865.179,14823.7,879836121,81.6768
hypergirgs,gluten,0,123,46415888,100,0.6,2.2,0.5,33.263,39012.1,4292.57,1786.34,32828.1,1983654264,85.4731
hypergirgs,gluten,0,123,21544,1000,0.6,2.2,0.5,13.3072,86.1313,1.73477,5.83511,78.5442,4301324,399.306
hypergirgs,gluten,0,123,46415,1000,0.6,2.2,0.5,14.8423,161.158,4.26656,19.3235,137.504,10541120,454.212
hypergirgs,gluten,0,123,100000,1000,0.6,2.2,0.5,16.3774,343.628,8.36034,11.4565,323.792,24749384,494.988
hypergirgs,gluten,0,123,215443,1000,0.6,2.2,0.5,17.9124,827.277,17.354,35.1012,774.516,61279928,568.874
hypergirgs,gluten,0,123,464158,1000,0.6,2.2,0.5,19.4475,1969.08,67.3476,58.3344,1843.36,138916079,598.572
hypergirgs,gluten,0,123,1000000,1000,0.6,2.2,0.5,20.9825,4427.6,80.9804,101.769,4242.2,316723605,633.447
hypergirgs,gluten,0,123,2154434,1000,0.6,2.2,0.5,22.5176,10226.5,178.106,131.432,9907.83,727304353,675.17
hypergirgs,gluten,0,123,4641588,1000,0.6,2.2,0.5,24.0527,23614.3,428.556,230.693,22941.1,1662659952,716.419
hypergirgs,gluten,0,123,10000000,1000,0.6,2.2,0.5,25.5877,53042.7,923.385,417.414,51652.6,3681994557,736.399
hypergirgs,gluten,0,123,21544346,1000,0.6,2.2,0.5,27.1228,119598,1994.22,734.414,116774,8302631247,770.748
hypergirgs,gluten,0,123,10000,10,1,3,0.5,16.5881,15.3074,1.10768,9.7813,4.39745,51188,10.2376
hypergirgs,gluten,0,123,21544,10,1,3,0.5,18.1231,23.7511,2.56983,13.1837,7.97792,107791,10.0066
hypergirgs,gluten,0,123,46415,10,1,3,0.5,19.6582,53.4643,4.59106,33.0708,15.7815,228797,9.85875
hypergirgs,gluten,0,123,100000,10,1,3,0.5,21.1933,55.6011,7.79574,29.0885,18.6949,499919,9.99838
hypergirgs,gluten,0,123,215443,10,1,3,0.5,22.7283,97.5355,15.3287,44.6449,37.5363,1080704,10.0324
hypergirgs,gluten,0,123,464158,10,1,3,0.5,24.2634,162.279,28.6024,43.9447,89.7023,2326965,10.0266
hypergirgs,gluten,0,123,1000000,10,1,3,0.5,25.7984,340.533,61.4543,88.5494,186.602,4980731,9.96146
hypergirgs,gluten,0,123,2154434,10,1,3,0.5,27.3335,704.527,183.035,150.706,361.805,10790606,10.0171
hypergirgs,gluten,0,123,4641588,10,1,3,0.5,28.8686,1348.97,337.124,222.296,764.555,23171485,9.98429
hypergirgs,gluten,0,123,10000000,10,1,3,0.5,30.4036,2747.01,758.465,418.913,1518.16,49922095,9.98442
hypergirgs,gluten,0,123,21544346,10,1,3,0.5,31.9387,5726.4,1583.2,922.084,3142.77,107660540,9.99432
hypergirgs,gluten,0,123,46415888,10,1,3,0.5,33.4737,12235.5,3373.6,2041.58,6670.29,232021671,9.99751
hypergirgs,gluten,0,123,10000,100,1,3,0.5,11.9829,35.3045,0.876735,20.6983,13.7161,495872,99.1744
hypergirgs,gluten,0,123,21544,100,1,3,0.5,13.518,33.3298,2.04386,5.41286,25.8587,1083524,100.587
hypergirgs,gluten,0,123,46415,100,1,3,0.5,15.053,64.947,4.05834,16.3212,44.3854,2273906,97.9815
hypergirgs,gluten,0,123,100000,100,1,3,0.5,16.5881,112.384,8.36571,19.1414,84.8154,5016166,100.323
hypergirgs,gluten,0,123,215443,100,1,3,0.5,18.1232,217.52,17.5272,23.4254,176.521,10827945,100.518
hypergirgs,gluten,0,123,464158,100,1,3,0.5,19.6582,490.494,37.3857,64.5778,388.504,23193392,99.9375
hypergirgs,gluten,0,123,1000000,100,1,3,0.5,21.1933,993.722,68.6988,97.3954,824.896,50045509,100.091
hypergirgs,gluten,0,123,2154434,100,1,3,0.5,22.7283,2017.46,141.42,124.77,1741.97,107718220,99.9968
hypergirgs,gluten,0,123,4641588,100,1,3,0.5,24.2634,4407.14,338.264,225.397,3829.41,232989859,100.392
hypergirgs,gluten,0,123,10000000,100,1,3,0.5,25.7984,9207.59,728.277,382.174,8067.93,500451180,100.09
hypergirgs,gluten,0,123,21544346,100,1,3,0.5,27.3335,19846.6,1555.89,728.784,17464.9,1077148181,99.9936
hypergirgs,gluten,0,123,46415888,100,1,3,0.5,28.8686,42275,3373.23,1615.15,37107.8,2321122300,100.014
hypergirgs,gluten,0,123,21544,1000,1,3,0.5,8.91278,181.02,1.78124,15.3704,163.858,10124274,939.869
hypergirgs,gluten,0,123,46415,1000,1,3,0.5,10.4478,352.789,4.03607,16.4283,332.293,22051302,950.18
hypergirgs,gluten,0,123,100000,1000,1,3,0.5,11.9829,776.098,8.30224,10.9084,756.467,48947172,978.943
hypergirgs,gluten,0,123,215443,1000,1,3,0.5,13.518,1724.95,17.2277,35.721,1671.99,106587274,989.471
hypergirgs,gluten,0,123,464158,1000,1,3,0.5,15.053,3784.22,37.5426,56.2749,3689.96,232207600,1000.55
hypergirgs,gluten,0,123,1000000,1000,1,3,0.5,16.5881,8068.39,124.787,82.3965,7856.81,500316527,1000.63
hypergirgs,gluten,0,123,2154434,1000,1,3,0.5,18.1232,17024.6,225.114,129.64,16661.9,1074167606,997.169
hypergirgs,gluten,0,123,4641588,1000,1,3,0.5,19.6582,37450.3,427.794,215.471,36794.7,2320879553,1000.04
hypergirgs,gluten,0,123,10000000,1000,1,3,0.5,21.1933,79243.7,801.334,453.859,77959.2,4997886778,999.577
hypergirgs,gluten,0,123,21544346,1000,1,3,0.5,22.7283,171567,1605.92,777.268,169122,10767890742,999.602
hypergirgs,gluten,0,123,10000,10,0.6,2.2,0.9,24.5068,37.8023,0.811425,21.6516,15.3111,15397,3.0794
hypergirgs,gluten,0,123,21544,10,0.6,2.2,0.9,26.0419,61.9207,2.05497,29.2985,30.5334,46472,4.31415
hypergirgs,gluten,0,123,46415,10,0.6,2.2,0.9,27.5769,114.253,4.0957,42.3028,67.8151,110148,4.74622
hypergirgs,gluten,0,123,100000,10,0.6,2.2,0.9,29.112,197.536,8.33941,64.0144,124.861,219733,4.39466
hypergirgs,gluten,0,123,215443,10,0.6,2.2,0.9,30.6471,320.475,17.4117,80.7734,218.736,529839,4.9186
hypergirgs,gluten,0,123,464158,10,0.6,2.2,0.9,32.1821,613.531,66.4531,130.297,410.983,1174878,5.06241
hypergirgs,gluten,0,123,1000000,10,0.6,2.2,0.9,33.7172,1201.4,115.017,214.928,862.241,2521629,5.04326
hypergirgs,gluten,0,123,2154434,10,0.6,2.2,0.9,35.2522,2230.14,152.831,347.87,1708.39,5916086,5.49201
hypergirgs,gluten,0,123,4641588,10,0.6,2.2,0.9,36.7873,4726.41,354.237,671.513,3658.15,14678247,6.32467
hypergirgs,gluten,0,123,10000000,10,0.6,2.2,0.9,38.3224,9618.12,741.047,1287.89,7505.8,30584581,6.11692
hypergirgs,gluten,0,123,21544346,10,0.6,2.2,0.9,39.8574,24134.4,1559.66,2991.79,19376.3,67752617,6.2896
hypergirgs,gluten,0,123,46415888,10,0.6,2.2,0.9,41.3925,42422.4,3377.69,5091.03,33610.1,172965340,7.45285
hypergirgs,gluten,0,123,10000,100,0.6,2.2,0.9,19.9017,47.1547,0.812943,35.9637,10.3511,122336,24.4672
hypergirgs,gluten,0,123,21544,100,0.6,2.2,0.9,21.4367,32.6465,2.05446,16.2039,14.3619,320970,29.7967
hypergirgs,gluten,0,123,46415,100,0.6,2.2,0.9,22.9717,72.3975,4.04683,35.7093,32.6067,763988,32.9199
hypergirgs,gluten,0,123,100000,100,0.6,2.2,0.9,24.5068,101.04,8.49218,38.8638,53.6539,1694456,33.8891
hypergirgs,gluten,0,123,215443,100,0.6,2.2,0.9,26.0419,192.089,17.3704,51.7721,122.903,4178401,38.7889
hypergirgs,gluten,0,123,464158,100,0.6,2.2,0.9,27.5769,429.181,37.6538,76.1937,315.202,9857791,42.476
hypergirgs,gluten,0,123,1000000,100,0.6,2.2,0.9,29.112,911.143,81.1481,112.618,714.623,22802856,45.6057
hypergirgs,gluten,0,123,2154434,100,0.6,2.2,0.9,30.6471,1904.73,178.414,153.981,1554.5,52108185,48.373
hypergirgs,gluten,0,123,4641588,100,0.6,2.2,0.9,32.1821,4348.11,466.808,309.774,3555.86,123073913,53.031
hypergirgs,gluten,0,123,10000000,100,0.6,2.2,0.9,33.7172,9625.97,901.026,562.651,8108.52,274286832,54.8574
hypergirgs,gluten,0,123,21544346,100,0.6,2.2,0.9,35.2522,20932.5,1744.79,1115.56,17973.7,601757212,55.8622
hypergirgs,gluten,0,123,46415888,100,0.6,2.2,0.9,36.7873,47580.5,3548.24,2190.29,41713.2,1397577064,60.2198
hypergirgs,gluten,0,123,21544,1000,0.6,2.2,0.9,16.8315,96.2582,1.73454,38.6167,55.8813,2107524,195.648
hypergirgs,gluten,0,123,46415,1000,0.6,2.2,0.9,18.3666,133.103,5.48303,29.037,98.559,5383504,231.973
hypergirgs,gluten,0,123,100000,1000,0.6,2.2,0.9,19.9017,263.774,9.01588,17.6144,236.901,12999899,259.998
hypergirgs,gluten,0,123,215443,1000,0.6,2.2,0.9,21.4367,634.22,18.7385,34.9228,580.409,31484016,292.272
hypergirgs,gluten,0,123,464158,1000,0.6,2.2,0.9,22.9718,1536.36,64.0709,77.9276,1394.32,77166682,332.502
hypergirgs,gluten,0,123,1000000,1000,0.6,2.2,0.9,24.5068,3494.81,81.0691,72.73,3338.23,178606879,357.214
hypergirgs,gluten,0,123,2154434,1000,0.6,2.2,0.9,26.0419,8533.77,178.55,138.141,8200.79,414749146,385.019
hypergirgs,gluten,0,123,4641588,1000,0.6,2.2,0.9,27.577,20903.3,466.794,250.241,20172.2,979744947,422.159
hypergirgs,gluten,0,123,10000000,1000,0.6,2.2,0.9,29.112,48497.7,923.111,399.731,47125.2,2282077653,456.416
hypergirgs,gluten,0,123,21544346,1000,0.6,2.2,0.9,30.6471,114148,1995.03,779.034,111311,5151240365,478.199
hypergirgs,gluten,0,123,10000,10,1,3,0.9,20.1124,54.7054,0.818318,43.3464,10.5104,30805,6.161
hypergirgs,gluten,0,123,21544,10,1,3,0.9,21.6474,51.2441,2.95378,36.0505,12.2199,68883,6.39463
hypergirgs,gluten,0,123,46415,10,1,3,0.9,23.1825,57.0046,3.98783,35.442,17.2709,158632,6.83538
hypergirgs,gluten,0,123,100000,10,1,3,0.9,24.7176,80.7636,7.50576,30.5491,42.6815,359104,7.18208
hypergirgs,gluten,0,123,215443,10,1,3,0.9,26.2526,139.829,14.531,55.9453,69.321,800688,7.43295
hypergirgs,gluten,0,123,464158,10,1,3,0.9,27.7877,251.761,30.8004,86.866,133.788,1739622,7.49582
hypergirgs,gluten,0,123,1000000,10,1,3,0.9,29.3227,476.008,66.7643,110.49,296.033,3886107,7.77221
hypergirgs,gluten,0,123,2154434,10,1,3,0.9,30.8578,939.337,136.139,185.699,606.389,8546105,7.9335
hypergirgs,gluten,0,123,4641588,10,1,3,0.9,32.3928,1896.9,337.894,288.903,1254.57,19115048,8.23643
hypergirgs,gluten,0,123,10000000,10,1,3,0.9,33.9279,3881.95,724.016,525.293,2602.15,41312605,8.26252
hypergirgs,gluten,0,123,21544346,10,1,3,0.9,35.463,8347.66,1564.08,1084.6,5635.94,90540924,8.40508
hypergirgs,gluten,0,123,46415888,10,1,3,0.9,36.998,17918.3,3355.14,2161.05,12226.2,197872801,8.52608
hypergirgs,gluten,0,123,10000,100,1,3,0.9,15.5072,18.7844,0.809684,6.38087,11.5759,256789,51.3578
hypergirgs,gluten,0,123,21544,100,1,3,0.9,17.0422,34.1393,2.05753,9.13353,22.9297,602278,55.9114
hypergirgs,gluten,0,123,46415,100,1,3,0.9,18.5773,67.341,4.06347,21.5743,41.6845,1383659,59.6212
hypergirgs,gluten,0,123,100000,100,1,3,0.9,20.1124,113.984,8.28061,30.5687,75.1162,3144614,62.8923
hypergirgs,gluten,0,123,215443,100,1,3,0.9,21.6474,215.754,14.6557,39.0536,162.022,7060903,65.5478
hypergirgs,gluten,0,123,464158,100,1,3,0.9,23.1825,471.159,29.0456,60.4675,381.609,15865464,68.3623
hypergirgs,gluten,0,123,1000000,100,1,3,0.9,24.7176,1032.97,61.5716,101.719,865.205,35618824,71.2376
hypergirgs,gluten,0,123,2154434,100,1,3,0.9,26.2526,2324.37,170.68,148.691,1996.01,78971431,73.3106
hypergirgs,gluten,0,123,4641588,100,1,3,0.9,27.7877,5084.23,337.733,235.481,4485.65,175131960,75.4621
hypergirgs,gluten,0,123,10000000,100,1,3,0.9,29.3227,11294.7,758.489,453.053,10054.5,388408584,77.6817
hypergirgs,gluten,0,123,21544346,100,1,3,0.9,30.8578,25107.8,1550.4,839.601,22621,854278349,79.3042
hypergirgs,gluten,0,123,46415888,100,1,3,0.9,32.3928,56041.4,3373.88,1782.27,50740.3,1879766945,80.9967
hypergirgs,gluten,0,123,21544,1000,1,3,0.9,12.4371,130.152,1.87588,24.1219,104.142,4602126,427.23
hypergirgs,gluten,0,123,46415,1000,1,3,0.9,13.9721,219.654,4.06171,6.55471,209.023,10988718,473.499
hypergirgs,gluten,0,123,100000,1000,1,3,0.9,15.5072,541.551,8.2924,22.3071,510.665,25692082,513.842
hypergirgs,gluten,0,123,215443,1000,1,3,0.9,17.0423,1280.89,17.4319,38.1613,1225.28,60040606,557.369
hypergirgs,gluten,0,123,464158,1000,1,3,0.9,18.5773,2945.33,37.5712,69.4703,2838.26,138076057,594.953
hypergirgs,gluten,0,123,1000000,1000,1,3,0.9,20.1124,6789.65,124.674,87.4733,6575.11,310867778,621.736
hypergirgs,gluten,0,123,2154434,1000,1,3,0.9,21.6474,15618.1,149.981,122.681,15336.3,704930274,654.4
hypergirgs,gluten,0,123,4641588,1000,1,3,0.9,23.1825,36285.2,340.754,224.251,35696.9,1587596249,684.075
hypergirgs,gluten,0,123,10000000,1000,1,3,0.9,24.7176,84380.1,756.145,394.18,83181.4,3548911931,709.782
hypergirgs,gluten,0,123,21544346,1000,1,3,0.9,26.2526,193006,1631.75,761.834,190519,7903398701,733.687
hypergirgs,gluten,1,123,10000,10,0.6,2.2,0,19.2056,21.9535,1.10538,14.8317,6.00346,55615,11.123
hypergirgs,gluten,1,123,21544,10,0.6,2.2,0,20.8558,9.73245,2.54324,2.81543,4.3634,110477,10.2559
hypergirgs,gluten,1,123,46415,10,0.6,2.2,0,22.4896,39.3018,4.85234,25.1849,9.25471,201786,8.69486
hypergirgs,gluten,1,123,100000,10,0.6,2.2,0,24.112,42.3759,8.9469,21.6839,11.7367,489438,9.78876
hypergirgs,gluten,1,123,215443,10,0.6,2.2,0,25.7171,70.0195,18.5505,31.0135,20.4466,1264533,11.7389
hypergirgs,gluten,1,123,464158,10,0.6,2.2,0,27.3193,125.373,40.2321,50.8813,34.1813,2203473,9.4945
hypergirgs,gluten,1,123,1000000,10,0.6,2.2,0,28.9054,258.377,87.0215,88.4281,80.0713,5213093,10.4262
hypergirgs,gluten,1,123,2154434,10,0.6,2.2,0,30.488,483.728,185.935,129.192,157.8,11123162,10.3258
