host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
gluten,1,NkOpt,2154434,10,1,3,26.4319,0.0,500.419,10783134,10.0102
gluten,1,NkOpt,4641588,10,1,3,27.9671,0.0,1085.72,23139481,9.9705
gluten,1,NkOpt,10000000,10,1,3,29.5022,0.0,2408.32,50002778,10.0006
gluten,1,NkOpt,21544346,10,1,3,31.0374,0.0,5064.41,107724941,10.0003
gluten,1,NkOpt,46415888,10,1,3,32.5725,0.0,10693.8,231730349,9.98496
gluten,1,NkOpt,100000000,10,1,3,34.1046,0.0,24838.3,500753071,10.0151
gluten,1,NkOpt,10000,100,1,3,11.0622,0.0,6.54929,514343,102.869
gluten,1,NkOpt,10000,100,1,3,11.0622,0.0,6.09897,501816,100.363
gluten,1,NkOpt,21544,100,1,3,12.6063,0.0,11.5764,1083551,100.59
gluten,1,NkOpt,46415,100,1,3,14.1455,0.0,21.1192,2240739,96.5524
gluten,1,NkOpt,100000,100,1,3,15.683,0.0,41.5164,5049696,100.994
gluten,1,NkOpt,215443,100,1,3,17.2191,0.0,77.6456,10851328,100.735
gluten,1,NkOpt,464158,100,1,3,18.7545,0.0,197.796,23183706,99.8958
gluten,1,NkOpt,1000000,100,1,3,20.2899,0.0,377.464,50136096,100.272
gluten,1,NkOpt,2154434,100,1,3,21.825,0.0,804.183,107867998,100.136
gluten,1,NkOpt,4641588,100,1,3,23.36,0.0,1828.28,231796456,99.8781
gluten,1,NkOpt,10000000,100,1,3,24.8951,0.0,3900.73,500888672,100.178
gluten,1,NkOpt,21544346,100,1,3,26.4301,0.0,8047.58,1079342193,100.197
gluten,1,NkOpt,46415888,100,1,3,27.9655,0.0,17304.8,2320144274,99.972
gluten,1,NkOpt,100000000,100,1,3,29.5006,0.0,38364,4998555306,99.9711
gluten,1,NkOpt,21544,1000,1,3,7.93843,0.0,50.0096,10789433,1001.62
gluten,1,NkOpt,46415,1000,1,3,9.50959,0.0,112.074,22684613,977.469
gluten,1,NkOpt,100000,1000,1,3,11.0624,0.0,173.95,50855121,1017.1
gluten,1,NkOpt,215443,1000,1,3,12.6062,0.0,365.762,108442941,1006.7
gluten,1,NkOpt,464158,1000,1,3,14.1456,0.0,816.787,232194444,1000.5
gluten,1,NkOpt,1000000,1000,1,3,15.6828,0.0,1735.83,501357379,1002.71
gluten,1,NkOpt,2154434,1000,1,3,17.2189,0.0,3651.39,1074318566,997.309
gluten,1,NkOpt,4641588,1000,1,3,18.7545,0.0,8143.52,2326268669,1002.36
gluten,1,NkOpt,10000000,1000,1,3,20.2899,0.0,17430.5,4993602150,998.72
gluten,1,NkOpt,21544346,1000,1,3,21.8251,0.0,36680.1,10780408360,1000.76
gluten,1,NkOpt,46415888,1000,1,3,23.3602,0.0,78551.5,23196968108,999.527
gluten,1,NkOpt,100000000,1000,1,3,24.8952,0.0,168854,50019408337,1000.39
gluten,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,3.19786,53666,10.7332
gluten,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,3.78102,46544,9.3088
gluten,2,NkOpt,21544,10,0.6,2.2,20.8558,0.0,6.11737,91780,8.52024
gluten,2,NkOpt,46415,10,0.6,2.2,22.4896,0.0,13.1807,231798,9.98806
gluten,2,NkOpt,100000,10,0.6,2.2,24.112,0.0,24.8075,501357,10.0271
gluten,2,NkOpt,215443,10,0.6,2.2,25.7171,0.0,50.509,977982,9.0788
gluten,2,NkOpt,464158,10,0.6,2.2,27.3193,0.0,122.957,2435456,10.4941
gluten,2,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,230.817,4840506,9.68101
gluten,2,NkOpt,2154434,10,0.6,2.2,30.488,0.0,537.585,10168864,9.43994
gluten,2,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,1258.39,22929892,9.88019
gluten,2,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,2643.54,50698864,10.1398
gluten,2,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,5294.91,107537685,9.98291
gluten,2,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,11253.5,223445655,9.62798
gluten,2,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,24721.6,483576576,9.67153
gluten,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,4.52948,523622,104.724
gluten,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,7.64007,534988,106.998
gluten,2,NkOpt,21544,100,0.6,2.2,15.8307,0.0,12.1866,1023115,94.9791
gluten,2,NkOpt,46415,100,0.6,2.2,17.531,0.0,22.6867,2275802,98.0632
gluten,2,NkOpt,100000,100,0.6,2.2,19.2046,0.0,43.6461,4687053,93.7411
gluten,2,NkOpt,215443,100,0.6,2.2,20.8564,0.0,86.2516,10673617,99.0853
gluten,2,NkOpt,464158,100,0.6,2.2,22.4907,0.0,216.049,23991213,103.375
gluten,2,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,411.161,49652350,99.3047
gluten,2,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,907.99,103776848,96.3379
gluten,2,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,2037.32,232451012,100.16
gluten,2,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,4255.81,494379216,98.8758
gluten,2,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,9049.25,1094491499,101.604
gluten,2,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,19343.6,2262608577,97.4928
gluten,2,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,42633.6,4985682567,99.7137
gluten,2,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,76.1812,9605590,891.718
gluten,2,NkOpt,46415,1000,0.6,2.2,12.309,0.0,121.055,22010252,948.411
gluten,2,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,188.089,46669002,933.38
gluten,2,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,472.38,107809470,1000.82
gluten,2,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,900.84,224760825,968.467
gluten,2,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,1877.74,502024866,1004.05
gluten,2,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,4096.57,1077453989,1000.22
gluten,2,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,8733.01,2305470257,993.397
gluten,2,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,19147.3,4955246669,991.049
gluten,2,NkOpt,21544346,1000,0.6,2.2,25.719,0.0,39933.1,10711283573,994.348
gluten,2,NkOpt,46415888,1000,0.6,2.2,27.3174,0.0,86464.4,23055873405,993.447
gluten,2,NkOpt,100000000,1000,0.6,2.2,28.9073,0.0,185910,49735464146,994.709
gluten,2,NkOpt,10000,10,1,3,15.683,0.0,3.10341,46834,9.3668
gluten,2,NkOpt,10000,10,1,3,15.683,0.0,3.3368,51452,10.2904
gluten,2,NkOpt,21544,10,1,3,17.2179,0.0,6.43332,106060,9.8459
gluten,2,NkOpt,46415,10,1,3,18.7527,0.0,11.8226,232233,10.0068
gluten,2,NkOpt,100000,10,1,3,20.2913,0.0,23.6967,502298,10.046
gluten,2,NkOpt,215443,10,1,3,21.8265,0.0,45.5504,1066250,9.89821
gluten,2,NkOpt,464158,10,1,3,23.3616,0.0,106.216,2320719,9.99969
gluten,2,NkOpt,1000000,10,1,3,24.8968,0.0,205.004,4998985,9.99797
gluten,2,NkOpt,2154434,10,1,3,26.4319,0.0,472.157,10805040,10.0305
gluten,2,NkOpt,4641588,10,1,3,27.9671,0.0,1166.82,23161141,9.97983
gluten,2,NkOpt,10000000,10,1,3,29.5022,0.0,2508.84,49912921,9.98258
gluten,2,NkOpt,21544346,10,1,3,31.0374,0.0,5144.33,107732171,10.001
gluten,2,NkOpt,46415888,10,1,3,32.5725,0.0,10983.7,231965798,9.9951
