host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
gluten,nkgen,0,0.5,3.0,215443,100,0,10758080,42,183,29700
gluten,nkgen,0,0.5,3.0,464158,100,0,23071531,82,367,85652
gluten,nkgen,0,0.5,3.0,1000000,100,0,50009342,182,879,275911
gluten,nkgen,0,0.5,3.0,2154434,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,4641588,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,10000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,21544346,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,46415888,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,100000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,4641,1000,0,1845173,30,3,391
gluten,nkgen,0,0.5,3.0,10000,1000,0,4472430,2,7,1058
gluten,nkgen,0,0.5,3.0,21544,1000,0,9973551,4,14,2459
gluten,nkgen,0,0.5,3.0,46415,1000,0,22836927,20,35,6673
gluten,nkgen,0,0.5,3.0,100000,1000,0,49533600,17,69,15998
gluten,nkgen,0,0.5,3.0,215443,1000,0,107998187,40,181,42788
gluten,nkgen,0,0.5,3.0,464158,1000,0,231104843,117,365,117768
gluten,nkgen,0,0.5,3.0,1000000,1000,0,499482619,210,898,341445
gluten,nkgen,0,0.5,3.0,2154434,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,4641588,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,10000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,21544346,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,46415888,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.5,3.0,100000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,2154,10,0,2791,28,1,81
gluten,nkgen,0,0.9,2.2,4641,10,0,9081,7,5,110
gluten,nkgen,0,0.9,2.2,10000,10,0,19549,2,7,292
gluten,nkgen,0,0.9,2.2,21544,10,0,45025,4,14,891
gluten,nkgen,0,0.9,2.2,46415,10,0,101481,19,35,2924
gluten,nkgen,0,0.9,2.2,100000,10,0,216274,17,69,8510
gluten,nkgen,0,0.9,2.2,215443,10,0,506776,67,183,24599
gluten,nkgen,0,0.9,2.2,464158,10,0,1153341,109,365,76463
gluten,nkgen,0,0.9,2.2,1000000,10,0,2667360,182,898,249883
gluten,nkgen,0,0.9,2.2,2154434,10,0,6484321,374,1961,761112
gluten,nkgen,0,0.9,2.2,4641588,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,10000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,21544346,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,46415888,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,100000000,10,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,2154,100,0,19962,26,1,84
gluten,nkgen,0,0.9,2.2,4641,100,0,49899,1,6,108
gluten,nkgen,0,0.9,2.2,10000,100,0,130538,2,7,316
gluten,nkgen,0,0.9,2.2,21544,100,0,309274,33,26,1032
gluten,nkgen,0,0.9,2.2,46415,100,0,740569,8,50,3029
gluten,nkgen,0,0.9,2.2,100000,100,0,1948145,46,69,9014
gluten,nkgen,0,0.9,2.2,215443,100,0,4311258,38,183,26929
gluten,nkgen,0,0.9,2.2,464158,100,0,9584429,92,414,80751
gluten,nkgen,0,0.9,2.2,1000000,100,0,23625893,184,898,253446
gluten,nkgen,0,0.9,2.2,2154434,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,4641588,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,10000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,21544346,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,46415888,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,100000000,100,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,4641,1000,0,331326,29,4,253
gluten,nkgen,0,0.9,2.2,10000,1000,0,850686,2,8,538
gluten,nkgen,0,0.9,2.2,21544,1000,0,2088718,4,16,1419
gluten,nkgen,0,0.9,2.2,46415,1000,0,5179536,8,35,4243
gluten,nkgen,0,0.9,2.2,100000,1000,0,12925131,47,104,10995
gluten,nkgen,0,0.9,2.2,215443,1000,0,31050900,66,181,34111
gluten,nkgen,0,0.9,2.2,464158,1000,0,75115291,88,416,96257
gluten,nkgen,0,0.9,2.2,1000000,1000,0,178658297,183,911,299727
gluten,nkgen,0,0.9,2.2,2154434,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,4641588,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,10000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,21544346,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,46415888,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,2.2,100000000,1000,0,-1,-1,-1,-1
gluten,nkgen,0,0.9,3.0,2154,10,0,5541,0,2,49
gluten,nkgen,0,0.9,3.0,4641,10,0,13975,1,3,105
gluten,nkgen,0,0.9,3.0,10000,10,0,32092,2,8,317
gluten,nkgen,0,0.9,3.0,21544,10,0,71801,27,26,1016
gluten,nkgen,0,0.9,3.0,46415,10,0,154974,6,35,2763
gluten,nkgen,0,0.9,3.0,100000,10,0,353938,27,100,8280
gluten,nkgen,0,0.9,3.0,215443,10,0,791780,61,183,24361
gluten,nkgen,0,0.9,3.0,464158,10,0,1746205,90,366,76749
gluten,nkgen,0,0.9,3.0,1000000,10,0,3879576,161,909,246022
