[CSV]host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,2,HyperGen,21544,10,0.6,0.0,17.001,133175,12.3631
[CSV]compute5,2,HyperGen,46415,10,0.6,0.0,35.5119,225219,9.70458
[CSV]compute5,2,HyperGen,100000,10,0.6,0.0,77.2065,493380,9.8676
[CSV]compute5,2,HyperGen,215443,10,0.6,0.0,177.736,970080,9.00544
[CSV]compute5,2,HyperGen,464158,10,0.6,0.0,386.683,2418086,10.4192
[CSV]compute5,2,HyperGen,1000000,10,0.6,0.0,836.948,5619932,11.2399
[CSV]compute5,2,HyperGen,2154434,10,0.6,0.0,1579.83,10670726,9.90583
[CSV]compute5,2,HyperGen,4641588,10,0.6,0.0,3553.65,24953019,10.7519
[CSV]compute5,2,HyperGen,10000000,10,0.6,0.0,8172.06,47974849,9.59497
[CSV]compute5,2,HyperGen,21544346,10,0.6,0.0,17400.1,109946656,10.2065
[CSV]compute5,2,HyperGen,46415888,10,0.6,0.0,36043.2,221828770,9.55831
[CSV]compute5,2,HyperGen,100000000,10,0.6,0.0,69734.1,481185483,9.62371
[CSV]compute5,2,HyperGen,10000,100,0.6,0.0,13.7806,549695,109.939
[CSV]compute5,2,HyperGen,10000,100,0.6,0.0,13.9605,521348,104.27
[CSV]compute5,2,HyperGen,21544,100,0.6,0.0,29.7062,1110951,103.133
[CSV]compute5,2,HyperGen,46415,100,0.6,0.0,63.9189,2374131,102.3
[CSV]compute5,2,HyperGen,100000,100,0.6,0.0,123.697,5228856,104.577
[CSV]compute5,2,HyperGen,215443,100,0.6,0.0,263.028,10882989,101.029
[CSV]compute5,2,HyperGen,464158,100,0.6,0.0,572.551,23884579,102.916
[CSV]compute5,2,HyperGen,1000000,100,0.6,0.0,1223.19,51412434,102.825
[CSV]compute5,2,HyperGen,2154434,100,0.6,0.0,2859.45,111779494,103.767
[CSV]compute5,2,HyperGen,4641588,100,0.6,0.0,6151.02,237957135,102.533
[CSV]compute5,2,HyperGen,10000000,100,0.6,0.0,13331.3,498143015,99.6286
[CSV]compute5,2,HyperGen,21544346,100,0.6,0.0,25981.3,1086626030,100.873
[CSV]compute5,2,HyperGen,46415888,100,0.6,0.0,55958,2324826690,100.174
[CSV]compute5,2,HyperGen,100000000,100,0.6,0.0,131844,5068233196,101.365
[CSV]compute5,2,HyperGen,21544,1000,0.6,0.0,84.9327,10136455,941
[CSV]compute5,2,HyperGen,46415,1000,0.6,0.0,183.839,23244824,1001.61
[CSV]compute5,2,HyperGen,100000,1000,0.6,0.0,393.275,50900780,1018.02
[CSV]compute5,2,HyperGen,215443,1000,0.6,0.0,903.427,108346260,1005.8
[CSV]compute5,2,HyperGen,464158,1000,0.6,0.0,1984.14,243200712,1047.92
[CSV]compute5,2,HyperGen,1000000,1000,0.6,0.0,3921.42,513022924,1026.05
[CSV]compute5,2,HyperGen,2154434,1000,0.6,0.0,8461.99,1114042055,1034.19
[CSV]compute5,2,HyperGen,4641588,1000,0.6,0.0,18224.4,2405672913,1036.57
[CSV]compute5,2,HyperGen,10000000,1000,0.6,0.0,39191.3,5159465736,1031.89
[CSV]compute5,2,HyperGen,21544346,1000,0.6,0.0,90930.3,11006124734,1021.72
[CSV]compute5,2,HyperGen,46415888,1000,0.6,0.0,199211,24290436754,1046.64
[CSV]compute5,2,HyperGen,10000,10,1,0.0,7.44382,50702,10.1404
[CSV]compute5,2,HyperGen,10000,10,1,0.0,7.40991,49370,9.874
[CSV]compute5,2,HyperGen,21544,10,1,0.0,16.4168,116494,10.8145
[CSV]compute5,2,HyperGen,46415,10,1,0.0,32.7207,231591,9.97914
[CSV]compute5,2,HyperGen,100000,10,1,0.0,72.8435,504182,10.0836
[CSV]compute5,2,HyperGen,215443,10,1,0.0,154.065,1091934,10.1366
[CSV]compute5,2,HyperGen,464158,10,1,0.0,319.541,2355447,10.1493
[CSV]compute5,2,HyperGen,1000000,10,1,0.0,686.854,4983367,9.96673
[CSV]compute5,2,HyperGen,2154434,10,1,0.0,1494.65,10783617,10.0106
[CSV]compute5,2,HyperGen,4641588,10,1,0.0,3087.97,23197730,9.9956
[CSV]compute5,2,HyperGen,10000000,10,1,0.0,7176.23,49920249,9.98405
[CSV]compute5,2,HyperGen,21544346,10,1,0.0,14700.6,107036611,9.9364
[CSV]compute5,2,HyperGen,46415888,10,1,0.0,31910.3,224171616,9.65926
[CSV]compute5,2,HyperGen,100000000,10,1,0.0,68510.8,458657775,9.17316
[CSV]compute5,2,HyperGen,10000,100,1,0.0,12.3009,508136,101.627
[CSV]compute5,2,HyperGen,10000,100,1,0.0,12.2289,524489,104.898
[CSV]compute5,2,HyperGen,21544,100,1,0.0,25.9812,1103122,102.406
[CSV]compute5,2,HyperGen,46415,100,1,0.0,52.6122,2379723,102.541
[CSV]compute5,2,HyperGen,100000,100,1,0.0,113.993,5143803,102.876
[CSV]compute5,2,HyperGen,215443,100,1,0.0,241.991,10991321,102.035
[CSV]compute5,2,HyperGen,464158,100,1,0.0,521.156,23367866,100.689
[CSV]compute5,2,HyperGen,1000000,100,1,0.0,1129.03,50449216,100.898
