host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkgen,0,0.5,2.2,21544346,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,46415888,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,2.2,100000000,1000,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,2154,10,0,10129,0,1,195
compute5,nkgen,0,0.5,3.0,4641,10,0,22427,0,2,609
compute5,nkgen,0,0.5,3.0,10000,10,0,50013,1,6,2022
compute5,nkgen,0,0.5,3.0,21544,10,0,107531,4,12,6064
compute5,nkgen,0,0.5,3.0,46415,10,0,228092,9,30,19840
compute5,nkgen,0,0.5,3.0,100000,10,0,497517,18,57,61663
compute5,nkgen,0,0.5,3.0,215443,10,0,1070246,42,155,179162
compute5,nkgen,0,0.5,3.0,464158,10,0,2324305,93,315,507715
compute5,nkgen,0,0.5,3.0,1000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,2154434,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,4641588,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,10000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,21544346,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,46415888,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,100000000,10,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,2154,100,0,99591,0,1,270
compute5,nkgen,0,0.5,3.0,4641,100,0,218179,0,2,795
compute5,nkgen,0,0.5,3.0,10000,100,0,502878,1,9,2484
compute5,nkgen,0,0.5,3.0,21544,100,0,1076771,4,12,7334
compute5,nkgen,0,0.5,3.0,46415,100,0,2314178,8,30,22234
compute5,nkgen,0,0.5,3.0,100000,100,0,4930829,19,58,65312
compute5,nkgen,0,0.5,3.0,215443,100,0,10733875,44,158,209997
compute5,nkgen,0,0.5,3.0,464158,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,1000000,100,0,-1,-1,-1,-1
compute5,nkgen,0,0.5,3.0,2154434,100,0,-1,-1,-1,-1
