[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,compute5,0,770,21544,10,0.6,2.2,0.5,22.5176,61.4989,1.3796,15.043,45.0654,73979,6.86771
[CSV]hypergirgs,compute5,0,780,46415,10,0.6,2.2,0.5,24.0526,121.605,3.01067,20.9232,97.6579,199097,8.57899
[CSV]hypergirgs,compute5,0,790,100000,10,0.6,2.2,0.5,25.5877,243.228,6.50142,29.0399,207.673,356505,7.1301
[CSV]hypergirgs,compute5,0,800,215443,10,0.6,2.2,0.5,27.1228,523.803,13.9826,47.4448,462.351,849854,7.88936
[CSV]hypergirgs,compute5,0,810,464158,10,0.6,2.2,0.5,28.6578,1104.51,31.2587,84.5717,987.593,1911554,8.23665
[CSV]hypergirgs,compute5,0,820,1000000,10,0.6,2.2,0.5,30.1929,2353.13,72.5403,172.4,2107.75,3835352,7.6707
[CSV]hypergirgs,compute5,0,830,2154434,10,0.6,2.2,0.5,31.7279,5384.93,149.986,363.634,4869.89,8657617,8.03702
[CSV]hypergirgs,compute5,0,840,4641588,10,0.6,2.2,0.5,33.263,11832.5,336.275,767.432,10727.5,21391722,9.21742
[CSV]hypergirgs,compute5,0,850,10000000,10,0.6,2.2,0.5,34.7981,24676.5,629.738,1609.92,22434.8,42029672,8.40593
[CSV]hypergirgs,compute5,0,860,21544346,10,0.6,2.2,0.5,36.3331,53420.8,1276.25,3502.74,48638.3,95244568,8.84172
[CSV]hypergirgs,compute5,0,870,46415888,10,0.6,2.2,0.5,37.8682,114961,2631.49,7721.27,104601,202551820,8.72769
[CSV]hypergirgs,compute5,0,890,10000,100,0.6,2.2,0.5,16.3774,37.6143,0.695842,5.91359,30.9978,256701,51.3402
[CSV]hypergirgs,compute5,0,900,21544,100,0.6,2.2,0.5,17.9124,82.7592,1.3718,8.51911,72.8608,595776,55.3078
[CSV]hypergirgs,compute5,0,910,46415,100,0.6,2.2,0.5,19.4475,189.793,2.98972,13.2127,173.581,1445446,62.2836
[CSV]hypergirgs,compute5,0,920,100000,100,0.6,2.2,0.5,20.9825,426.934,6.47056,22.2117,398.239,3297003,65.9401
[CSV]hypergirgs,compute5,0,930,215443,100,0.6,2.2,0.5,22.5176,961.065,14.1723,40.6767,906.194,7211451,66.9453
[CSV]hypergirgs,compute5,0,940,464158,100,0.6,2.2,0.5,24.0527,2157.46,31.2887,74.0546,2052.09,16084999,69.3083
[CSV]hypergirgs,compute5,0,950,1000000,100,0.6,2.2,0.5,25.5877,4910.33,67.9548,151.905,4690.21,38451313,76.9026
[CSV]hypergirgs,compute5,0,960,2154434,100,0.6,2.2,0.5,27.1228,11215.8,147.735,311.609,10754.6,85208170,79.1003
[CSV]hypergirgs,compute5,0,970,4641588,100,0.6,2.2,0.5,28.6578,24737.1,336.282,659.636,23740.3,185217084,79.8076
[CSV]hypergirgs,compute5,0,980,10000000,100,0.6,2.2,0.5,30.1929,54726.8,720.73,1397.85,52606.9,415716867,83.1434
[CSV]hypergirgs,compute5,0,990,21544346,100,0.6,2.2,0.5,31.7279,124156,1537.39,3134.67,119481,933888342,86.6945
[CSV]hypergirgs,compute5,0,1020,21544,1000,0.6,2.2,0.5,13.3072,389.765,1.43429,5.00435,383.32,4372510,405.914
[CSV]hypergirgs,compute5,0,1030,46415,1000,0.6,2.2,0.5,14.8423,959.366,3.00572,8.87587,947.478,10167905,438.13
[CSV]hypergirgs,compute5,0,1040,100000,1000,0.6,2.2,0.5,16.3774,2408.17,6.54137,16.3633,2385.25,24913852,498.277
[CSV]hypergirgs,compute5,0,1050,215443,1000,0.6,2.2,0.5,17.9124,5881.7,14.2736,31.6299,5835.78,59264607,550.165
[CSV]hypergirgs,compute5,0,1060,464158,1000,0.6,2.2,0.5,19.4475,14080.5,31.3173,66.7867,13982.4,140928846,607.245
[CSV]hypergirgs,compute5,0,1070,1000000,1000,0.6,2.2,0.5,20.9825,33088.8,67.9776,149.201,32871.3,319280920,638.562
[CSV]hypergirgs,compute5,0,1080,2154434,1000,0.6,2.2,0.5,22.5176,76643.8,147.323,306.699,76189,724495678,672.562
