host,algo,iter,T,PLE,n,deg,time,edges,samplingTime,preprocessTime,totalTime
compute5,nkbin,1,0.5,3.0,21544346,10,0,107841950,6362,2681,156363
compute5,nkbin,1,0.5,3.0,46415888,10,0,232031358,14758,6118,354333
compute5,nkbin,1,0.5,3.0,100000000,10,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,2154,100,0,99519,0,0,54
compute5,nkbin,1,0.5,3.0,4641,100,0,231232,0,0,129
compute5,nkbin,1,0.5,3.0,10000,100,0,496799,1,0,298
compute5,nkbin,1,0.5,3.0,21544,100,0,1076829,3,1,656
compute5,nkbin,1,0.5,3.0,46415,100,0,2350051,7,4,1389
compute5,nkbin,1,0.5,3.0,100000,100,0,4967912,17,10,2945
compute5,nkbin,1,0.5,3.0,215443,100,0,10789504,39,23,6618
compute5,nkbin,1,0.5,3.0,464158,100,0,23313334,89,58,15129
compute5,nkbin,1,0.5,3.0,1000000,100,0,49696686,199,124,29473
compute5,nkbin,1,0.5,3.0,2154434,100,0,107619589,469,276,62796
compute5,nkbin,1,0.5,3.0,4641588,100,0,231633415,1115,594,140531
compute5,nkbin,1,0.5,3.0,10000000,100,0,500075640,2681,1250,322344
compute5,nkbin,1,0.5,3.0,21544346,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,46415888,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,100000000,100,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,4641,1000,0,1811361,0,0,717
compute5,nkbin,1,0.5,3.0,10000,1000,0,4338618,1,0,1789
compute5,nkbin,1,0.5,3.0,21544,1000,0,10126526,3,2,4383
compute5,nkbin,1,0.5,3.0,46415,1000,0,22428318,7,4,9708
compute5,nkbin,1,0.5,3.0,100000,1000,0,49071971,17,10,21410
compute5,nkbin,1,0.5,3.0,215443,1000,0,105920193,39,22,47619
compute5,nkbin,1,0.5,3.0,464158,1000,0,230246535,89,56,108927
compute5,nkbin,1,0.5,3.0,1000000,1000,0,497068309,206,130,227952
compute5,nkbin,1,0.5,3.0,2154434,1000,0,1076021456,485,290,479647
compute5,nkbin,1,0.5,3.0,4641588,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,10000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,21544346,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,46415888,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.5,3.0,100000000,1000,0,-1,-1,-1,-1
compute5,nkbin,1,0.9,2.2,2154,10,0,4079,0,0,8
compute5,nkbin,1,0.9,2.2,4641,10,0,9133,0,0,19
compute5,nkbin,1,0.9,2.2,10000,10,0,20433,1,0,47
