[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,Embedder,215443,100,1,0.5,18.1232,3333.55,8151143,75.6687
[CSV]compute5,0,Embedder,464158,100,1,0.5,19.6582,7672.73,17978782,77.4684
[CSV]compute5,0,Embedder,1000000,100,1,0.5,21.1933,18289.9,39611603,79.2232
[CSV]compute5,0,Embedder,2154434,100,1,0.5,22.7283,41585.1,86257920,80.0748
[CSV]compute5,0,Embedder,4641588,100,1,0.5,24.2634,91295.3,189460061,81.6359
[CSV]compute5,0,Embedder,10000000,100,1,0.5,25.7984,203441,414378161,82.8756
[CSV]compute5,0,Embedder,21544,1000,1,0.5,8.91278,3752.02,8206502,761.836
[CSV]compute5,0,Embedder,46415,1000,1,0.5,10.4478,9151.36,18728720,807.012
[CSV]compute5,0,Embedder,100000,1000,1,0.5,11.9829,21610.7,41422249,828.445
[CSV]compute5,0,Embedder,215443,1000,1,0.5,13.518,50369.6,90678634,841.788
[CSV]compute5,0,Embedder,464158,1000,1,0.5,15.053,117125,196848014,848.194
[CSV]compute5,0,Embedder,10000,10,0.6,0.9,24.5068,393.185,12825,2.565
[CSV]compute5,0,Embedder,10000,10,0.6,0.9,24.5068,393.871,13147,2.6294
[CSV]compute5,0,Embedder,21544,10,0.6,0.9,26.0419,765.866,26889,2.49619
[CSV]compute5,0,Embedder,46415,10,0.6,0.9,27.5769,1501.41,54569,2.35135
[CSV]compute5,0,Embedder,100000,10,0.6,0.9,29.112,3026.33,124860,2.4972
[CSV]compute5,0,Embedder,215443,10,0.6,0.9,30.6471,12048.6,288592,2.67906
[CSV]compute5,0,Embedder,464158,10,0.6,0.9,32.1821,24346.8,587064,2.52959
[CSV]compute5,0,Embedder,1000000,10,0.6,0.9,33.7172,49150.6,1329417,2.65883
[CSV]compute5,0,Embedder,2154434,10,0.6,0.9,35.2522,98866,2840995,2.63735
[CSV]compute5,0,Embedder,4641588,10,0.6,0.9,36.7873,200875,6377099,2.74781
[CSV]compute5,0,Embedder,10000,100,0.6,0.9,19.9017,85.5535,64165,12.833
[CSV]compute5,0,Embedder,10000,100,0.6,0.9,19.9017,83.7678,58354,11.6708
[CSV]compute5,0,Embedder,21544,100,0.6,0.9,21.4367,175.275,134870,12.5204
[CSV]compute5,0,Embedder,46415,100,0.6,0.9,22.9717,384.122,329682,14.2058
