[CSV]host,iter,algo,n,avgDeg,alpha,T,R,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,0,Embedder,1000000,10,0.6,0.9,33.7172,50120,1329417,2.65883
[CSV]thomas-desktop,0,Embedder,2154434,10,0.6,0.9,35.2522,100761,2840995,2.63735
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.9,19.9017,92.5821,64165,12.833
[CSV]thomas-desktop,0,Embedder,10000,100,0.6,0.9,19.9017,90.3145,58354,11.6708
[CSV]thomas-desktop,0,Embedder,21544,100,0.6,0.9,21.4367,188.519,134870,12.5204
[CSV]thomas-desktop,0,Embedder,46415,100,0.6,0.9,22.9717,400.557,329682,14.2058
[CSV]thomas-desktop,0,Embedder,100000,100,0.6,0.9,24.5068,830.716,784552,15.691
[CSV]thomas-desktop,0,Embedder,215443,100,0.6,0.9,26.0419,1785.89,1866032,17.3227
[CSV]thomas-desktop,0,Embedder,464158,100,0.6,0.9,27.5769,3666.63,3679117,15.8529
[CSV]thomas-desktop,0,Embedder,1000000,100,0.6,0.9,29.112,8416.61,8312383,16.6248
[CSV]thomas-desktop,0,Embedder,21544,1000,0.6,0.9,16.8315,326.067,800231,74.2881
[CSV]thomas-desktop,0,Embedder,46415,1000,0.6,0.9,18.3666,816.067,2044432,88.0936
[CSV]thomas-desktop,0,Embedder,100000,1000,0.6,0.9,19.9017,1946.07,4887693,97.7539
[CSV]thomas-desktop,0,Embedder,215443,1000,0.6,0.9,21.4367,4485.46,11068393,102.75
[CSV]thomas-desktop,0,Embedder,464158,1000,0.6,0.9,22.9718,10631.9,25451203,109.666
[CSV]thomas-desktop,0,Embedder,1000000,1000,0.6,0.9,24.5068,26288.4,60963962,121.928
[CSV]thomas-desktop,0,Embedder,10000,10,1,0.9,20.1124,72.5335,16005,3.201
[CSV]thomas-desktop,0,Embedder,10000,10,1,0.9,20.1124,72.7791,16440,3.288
[CSV]thomas-desktop,0,Embedder,21544,10,1,0.9,21.6474,148.007,35968,3.33903
[CSV]thomas-desktop,0,Embedder,46415,10,1,0.9,23.1825,293.955,77883,3.35594
[CSV]thomas-desktop,0,Embedder,100000,10,1,0.9,24.7176,569.912,168989,3.37978
[CSV]thomas-desktop,0,Embedder,215443,10,1,0.9,26.2526,1111.29,366201,3.39952
[CSV]thomas-desktop,0,Embedder,464158,10,1,0.9,27.7877,3829.25,760704,3.27778
[CSV]thomas-desktop,0,Embedder,1000000,10,1,0.9,29.3227,8062.02,1634937,3.26987
[CSV]thomas-desktop,0,Embedder,2154434,10,1,0.9,30.8578,16777.9,3557925,3.30289
[CSV]thomas-desktop,0,Embedder,4641588,10,1,0.9,32.3928,34845.6,7674697,3.30693
[CSV]thomas-desktop,0,Embedder,10000000,10,1,0.9,33.9279,72170.3,16607825,3.32157
[CSV]thomas-desktop,0,Embedder,21544346,10,1,0.9,35.463,149206,35983676,3.34043
[CSV]thomas-desktop,0,Embedder,10000,100,1,0.9,15.5072,47.6042,80181,16.0362
[CSV]thomas-desktop,0,Embedder,10000,100,1,0.9,15.5072,46.3411,75441,15.0882
[CSV]thomas-desktop,0,Embedder,21544,100,1,0.9,17.0422,104.665,172408,16.0052
[CSV]thomas-desktop,0,Embedder,46415,100,1,0.9,18.5773,229.152,394270,16.9889
[CSV]thomas-desktop,0,Embedder,100000,100,1,0.9,20.1124,489.58,851704,17.0341
[CSV]thomas-desktop,0,Embedder,215443,100,1,0.9,21.6474,1092.02,1916422,17.7905
[CSV]thomas-desktop,0,Embedder,464158,100,1,0.9,23.1825,2363.15,4187168,18.042
[CSV]thomas-desktop,0,Embedder,1000000,100,1,0.9,24.7176,5320.29,9309266,18.6185
[CSV]thomas-desktop,0,Embedder,2154434,100,1,0.9,26.2526,12163.1,20699570,19.2158
[CSV]thomas-desktop,0,Embedder,4641588,100,1,0.9,27.7877,20670.9,35147201,15.1445
[CSV]thomas-desktop,0,Embedder,10000000,100,1,0.9,29.3227,46564.4,78373526,15.6747
[CSV]thomas-desktop,0,Embedder,21544,1000,1,0.9,12.4371,1052.55,1978132,183.636
[CSV]thomas-desktop,0,Embedder,46415,1000,1,0.9,13.9721,1272.24,3253423,140.188
[CSV]thomas-desktop,0,Embedder,100000,1000,1,0.9,15.5072,3016.39,7309980,146.2
[CSV]thomas-desktop,0,Embedder,215443,1000,1,0.9,17.0423,6855.84,16223086,150.602
[CSV]thomas-desktop,0,Embedder,464158,1000,1,0.9,18.5773,15921.8,36942059,159.179
[CSV]thomas-desktop,0,Embedder,1000000,1000,1,0.9,20.1124,35441.7,81353107,162.706
[CSV]thomas-desktop,0,Embedder,2154434,1000,1,0.9,21.6474,82107.6,181560815,168.546
[CSV]thomas-desktop,0,Embedder,4641588,1000,1,0.9,23.1825,182531,403861314,174.019
[CSV]thomas-desktop,1,Embedder,10000,10,0.6,0,19.2056,35.5461,56419,11.2838
[CSV]thomas-desktop,1,Embedder,10000,10,0.6,0,19.2056,34.143,48713,9.7426
[CSV]thomas-desktop,1,Embedder,21544,10,0.6,0,20.8558,47.3874,97454,9.04697
[CSV]thomas-desktop,1,Embedder,46415,10,0.6,0,22.4896,123.275,247828,10.6788
[CSV]thomas-desktop,1,Embedder,100000,10,0.6,0,24.112,273.424,508444,10.1689
[CSV]thomas-desktop,1,Embedder,215443,10,0.6,0,25.7171,599.271,1018123,9.45144
[CSV]thomas-desktop,1,Embedder,464158,10,0.6,0,27.3193,1468.28,2238573,9.64574
[CSV]thomas-desktop,1,Embedder,1000000,10,0.6,0,28.9054,3652.03,4789845,9.57969
[CSV]thomas-desktop,1,Embedder,2154434,10,0.6,0,30.488,9688.73,11300377,10.4903
[CSV]thomas-desktop,1,Embedder,4641588,10,0.6,0,32.0655,14185.6,21690755,9.34626
[CSV]thomas-desktop,1,Embedder,10000000,10,0.6,0,33.6363,35448.7,50917327,10.1835
[CSV]thomas-desktop,1,Embedder,21544346,10,0.6,0,35.2051,77350.8,104157284,9.66911
[CSV]thomas-desktop,1,Embedder,46415888,10,0.6,0,36.7676,181205,233920192,10.0793
[CSV]thomas-desktop,1,Embedder,10000,100,0.6,0,14.0942,194.505,505019,101.004
[CSV]thomas-desktop,1,Embedder,10000,100,0.6,0,14.0942,183.362,463792,92.7584
[CSV]thomas-desktop,1,Embedder,21544,100,0.6,0,15.8307,464.756,1027741,95.4086
[CSV]thomas-desktop,1,Embedder,46415,100,0.6,0,17.531,1178.62,2289278,98.6439
[CSV]thomas-desktop,1,Embedder,100000,100,0.6,0,19.2046,2816.28,4739028,94.7806
[CSV]thomas-desktop,1,Embedder,215443,100,0.6,0,20.8564,3767.72,10711250,99.4347
[CSV]thomas-desktop,1,Embedder,464158,100,0.6,0,22.4907,9223.78,23287005,100.341
