[CSV]algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
[CSV]hypergirgs,thomas-desktop,1,3120,4641588,10,0.6,2.2,0.5,33.263,10292.3,289.785,625.903,9366.53,19305417,8.31845
[CSV]hypergirgs,thomas-desktop,1,3130,10000000,10,0.6,2.2,0.5,34.7981,21547.3,573.66,1305.97,19648,41356472,8.27129
[CSV]hypergirgs,thomas-desktop,1,3140,21544346,10,0.6,2.2,0.5,36.3331,46292.7,1193.77,2757.38,42301.1,92612449,8.59738
[CSV]hypergirgs,thomas-desktop,1,3150,46415888,10,0.6,2.2,0.5,37.8682,99594.7,2512.11,5937.39,91060.3,204552503,8.8139
[CSV]hypergirgs,thomas-desktop,1,3160,100000000,10,0.6,2.2,0.5,39.4032,213659,5330.56,12724,195429,455272711,9.10545
[CSV]hypergirgs,thomas-desktop,1,3170,10000,100,0.6,2.2,0.5,16.3774,31.6385,0.799473,4.9751,25.8539,248283,49.6566
[CSV]hypergirgs,thomas-desktop,1,3180,21544,100,0.6,2.2,0.5,17.9124,68.1898,1.31987,7.04394,59.8163,608853,56.5218
[CSV]hypergirgs,thomas-desktop,1,3190,46415,100,0.6,2.2,0.5,19.4475,156.061,2.67616,11.584,141.785,1425743,61.4346
[CSV]hypergirgs,thomas-desktop,1,3200,100000,100,0.6,2.2,0.5,20.9825,335.53,5.73384,19.6022,310.165,3167807,63.3561
[CSV]hypergirgs,thomas-desktop,1,3210,215443,100,0.6,2.2,0.5,22.5176,739.412,12.7454,34.5223,692.098,7183985,66.6904
[CSV]hypergirgs,thomas-desktop,1,3220,464158,100,0.6,2.2,0.5,24.0527,1683.62,26.852,64.2088,1592.51,16176538,69.7027
[CSV]hypergirgs,thomas-desktop,1,3230,1000000,100,0.6,2.2,0.5,25.5877,3733.52,57.0288,126.009,3549.09,36276428,72.5529
[CSV]hypergirgs,thomas-desktop,1,3240,2154434,100,0.6,2.2,0.5,27.1228,8724.07,124.586,250.936,8343.59,84963246,78.8729
[CSV]hypergirgs,thomas-desktop,1,3250,4641588,100,0.6,2.2,0.5,28.6578,19507,294.918,520.5,18683.6,191703617,82.6026
[CSV]hypergirgs,thomas-desktop,1,3260,10000000,100,0.6,2.2,0.5,30.1929,42207.8,629.049,1092.84,40469.8,402276341,80.4553
[CSV]hypergirgs,thomas-desktop,1,3270,21544346,100,0.6,2.2,0.5,31.7279,94777.8,1339.04,2443.54,90966.8,883620578,82.0281
[CSV]hypergirgs,thomas-desktop,1,3280,46415888,100,0.6,2.2,0.5,38.4522,102518,2499.58,6105.93,93820.5,151951901,6.54741
[CSV]hypergirgs,thomas-desktop,1,3300,21544,1000,0.6,2.2,0.5,13.3072,302.352,1.27462,4.46087,296.593,4314685,400.546
[CSV]hypergirgs,thomas-desktop,1,3310,46415,1000,0.6,2.2,0.5,14.8423,744.576,2.69394,7.79629,734.062,10311957,444.337
[CSV]hypergirgs,thomas-desktop,1,3320,100000,1000,0.6,2.2,0.5,16.3774,1883.56,5.69751,14.8817,1862.95,25501676,510.034
[CSV]hypergirgs,thomas-desktop,1,3330,215443,1000,0.6,2.2,0.5,17.9124,4594.34,12.751,27.5177,4554.03,61115452,567.347
[CSV]hypergirgs,thomas-desktop,1,3340,464158,1000,0.6,2.2,0.5,19.4475,10602.1,26.4269,57.5612,10518.1,136083437,586.367
[CSV]hypergirgs,thomas-desktop,1,3350,1000000,1000,0.6,2.2,0.5,20.9825,25246.5,57.7111,133.069,25054.3,319135025,638.27
[CSV]hypergirgs,thomas-desktop,1,3360,2154434,1000,0.6,2.2,0.5,22.5176,58895.4,124.789,261.822,58503.8,736342615,683.56
[CSV]hypergirgs,thomas-desktop,1,3370,4641588,1000,0.6,2.2,0.5,29.2418,15516.4,292.804,531.462,14684.7,133373569,57.4689
[CSV]hypergirgs,thomas-desktop,1,3380,10000000,1000,0.6,2.2,0.5,29.5056,55593.9,627.581,1075.98,53874.3,566624854,113.325
[CSV]hypergirgs,thomas-desktop,1,3390,21544346,1000,0.6,2.2,0.5,38.5956,63332.2,1157.35,3237.17,58874,34231884,3.17781
[CSV]hypergirgs,thomas-desktop,1,3420,10000,10,1,3,0.5,16.5881,15.7423,0.759213,4.76362,10.1971,49585,9.917
[CSV]hypergirgs,thomas-desktop,1,3430,21544,10,1,3,0.5,18.1231,29.3258,1.28615,6.95385,21.0784,106907,9.92453
[CSV]hypergirgs,thomas-desktop,1,3440,46415,10,1,3,0.5,19.6582,59.4225,2.76351,10.5927,46.0543,236896,10.2077
[CSV]hypergirgs,thomas-desktop,1,3450,100000,10,1,3,0.5,21.1933,122.229,5.28499,18.2718,98.6624,503070,10.0614
[CSV]hypergirgs,thomas-desktop,1,3460,215443,10,1,3,0.5,22.7283,246.088,10.4214,32.7853,202.853,1084514,10.0678
[CSV]hypergirgs,thomas-desktop,1,3470,464158,10,1,3,0.5,24.2634,507.384,22.2905,60.4962,424.546,2337766,10.0731
[CSV]hypergirgs,thomas-desktop,1,3480,1000000,10,1,3,0.5,25.7984,1094.57,49.7561,121.593,921.75,5026922,10.0538
[CSV]hypergirgs,thomas-desktop,1,3490,2154434,10,1,3,0.5,27.3335,2324,104.067,246.698,1968.28,10746975,9.97661
[CSV]hypergirgs,thomas-desktop,1,3500,4641588,10,1,3,0.5,28.8686,5187.27,247.915,521.494,4410.34,23184255,9.98979
[CSV]hypergirgs,thomas-desktop,1,3510,10000000,10,1,3,0.5,30.4036,10961.7,532.826,1098.38,9313.23,49885150,9.97703
[CSV]hypergirgs,thomas-desktop,1,3520,21544346,10,1,3,0.5,31.9387,23692.7,1143.27,2433.76,20086.7,107674317,9.9956
[CSV]hypergirgs,thomas-desktop,1,3530,46415888,10,1,3,0.5,33.4737,50404.3,2467.24,5202.99,42674.2,232277705,10.0085
[CSV]hypergirgs,thomas-desktop,1,3540,100000000,10,1,3,0.5,35.0088,109590,5271.06,11292.7,92902,500289981,10.0058
[CSV]hypergirgs,thomas-desktop,1,3550,10000,100,1,3,0.5,11.9829,51.0736,0.755487,2.64217,47.6699,483613,96.7226
[CSV]hypergirgs,thomas-desktop,1,3560,21544,100,1,3,0.5,13.518,112.896,1.37766,4.43639,107.076,1065493,98.9132
[CSV]hypergirgs,thomas-desktop,1,3570,46415,100,1,3,0.5,15.053,235.168,2.93338,7.82378,224.404,2262511,97.4905
[CSV]hypergirgs,thomas-desktop,1,3580,100000,100,1,3,0.5,16.5881,509.847,5.7853,14.7374,489.297,5020012,100.4
[CSV]hypergirgs,thomas-desktop,1,3590,215443,100,1,3,0.5,18.1232,1074.89,12.767,27.6419,1034.45,10637580,98.7508
[CSV]hypergirgs,thomas-desktop,1,3600,464158,100,1,3,0.5,19.6582,2354.89,26.9801,59.3197,2268.56,23265597,100.249
[CSV]hypergirgs,thomas-desktop,1,3610,1000000,100,1,3,0.5,21.1933,5061.87,51.6884,130.114,4878.69,50046038,100.092
[CSV]hypergirgs,thomas-desktop,1,3620,2154434,100,1,3,0.5,22.7283,10926,107.621,258.124,10555.2,107803516,100.076
[CSV]hypergirgs,thomas-desktop,1,3630,4641588,100,1,3,0.5,24.2634,23560.4,250.874,498.701,22803.2,232160461,100.035
[CSV]hypergirgs,thomas-desktop,1,3640,10000000,100,1,3,0.5,25.7984,50469.7,534.849,1040.45,48877.2,498774281,99.7549
[CSV]hypergirgs,thomas-desktop,1,3650,21544346,100,1,3,0.5,27.3335,108876,1144.31,2220.77,105472,1076084928,99.8949
[CSV]hypergirgs,thomas-desktop,1,3680,21544,1000,1,3,0.5,8.91278,796.259,1.30516,2.84757,792.085,10126630,940.088
[CSV]hypergirgs,thomas-desktop,1,3690,46415,1000,1,3,0.5,10.4478,1871.55,2.78498,5.85697,1862.89,22132183,953.665
[CSV]hypergirgs,thomas-desktop,1,3700,100000,1000,1,3,0.5,11.9829,4337.76,5.64413,12.5861,4319.51,48702203,974.044
[CSV]hypergirgs,thomas-desktop,1,3710,215443,1000,1,3,0.5,13.518,9727.65,12.2941,27.0022,9688.33,106505157,988.708
[CSV]hypergirgs,thomas-desktop,1,3720,464158,1000,1,3,0.5,15.053,21287.5,26.8243,55.8326,21204.8,230351981,992.558
[CSV]hypergirgs,thomas-desktop,1,3730,1000000,1000,1,3,0.5,16.5881,46423.9,56.7124,123.693,46242,497958254,995.917
[CSV]hypergirgs,thomas-desktop,1,3740,2154434,1000,1,3,0.5,18.1232,101080,126.717,257.466,100692,1079716659,1002.32
[CSV]hypergirgs,thomas-desktop,1,3800,10000,10,0.6,2.2,0.9,24.5068,62.4548,0.642404,13.9587,47.8023,16433,3.2866
[CSV]hypergirgs,thomas-desktop,1,3810,21544,10,0.6,2.2,0.9,26.0419,114.958,1.36132,16.1512,97.4332,39378,3.65559
[CSV]hypergirgs,thomas-desktop,1,3820,46415,10,0.6,2.2,0.9,27.5769,273.043,2.68213,23.5149,246.8,93156,4.01405
[CSV]hypergirgs,thomas-desktop,1,3830,100000,10,0.6,2.2,0.9,29.112,556.884,5.72739,37.0907,514.008,208660,4.1732
[CSV]hypergirgs,thomas-desktop,1,3840,215443,10,0.6,2.2,0.9,30.6471,1138.47,12.6633,59.874,1064.66,515689,4.78724
[CSV]hypergirgs,thomas-desktop,1,3850,464158,10,0.6,2.2,0.9,32.1821,2356.25,27.4808,110.029,2216.57,1276718,5.50122
[CSV]hypergirgs,thomas-desktop,1,3860,1000000,10,0.6,2.2,0.9,33.7172,5098.18,55.8097,222.701,4814.64,2996098,5.9922
[CSV]hypergirgs,thomas-desktop,1,3870,2154434,10,0.6,2.2,0.9,35.2522,10749.2,112.548,430.843,10193.2,6372050,5.91529
[CSV]hypergirgs,thomas-desktop,1,3880,4641588,10,0.6,2.2,0.9,36.7873,23248.7,260.586,909.068,22054.5,13033212,5.61584
[CSV]hypergirgs,thomas-desktop,1,3890,10000000,10,0.6,2.2,0.9,38.3224,48562.2,542.749,1868.23,46102.8,30464144,6.09283
[CSV]hypergirgs,thomas-desktop,1,3900,21544346,10,0.6,2.2,0.9,39.8574,130329,1148.43,4317.17,124742,69183863,6.42246
[CSV]hypergirgs,thomas-desktop,1,3930,10000,100,0.6,2.2,0.9,19.9017,36.1226,0.673456,8.11164,27.3088,125698,25.1396
[CSV]hypergirgs,thomas-desktop,1,3940,21544,100,0.6,2.2,0.9,21.4367,74.7124,1.31963,10.6755,62.7068,331074,30.7347
[CSV]hypergirgs,thomas-desktop,1,3950,46415,100,0.6,2.2,0.9,22.9717,163.712,2.67485,15.094,145.93,757749,32.651
[CSV]hypergirgs,thomas-desktop,1,3960,100000,100,0.6,2.2,0.9,24.5068,352.772,5.77822,22.4458,324.5,1753998,35.08
[CSV]hypergirgs,thomas-desktop,1,3970,215443,100,0.6,2.2,0.9,26.0419,801.462,12.686,38.2,750.533,4279028,39.7231
[CSV]hypergirgs,thomas-desktop,1,3980,464158,100,0.6,2.2,0.9,27.5769,1879.03,26.5976,69.4548,1782.92,9897692,42.6479
[CSV]hypergirgs,thomas-desktop,1,3990,1000000,100,0.6,2.2,0.9,29.112,4258.73,57.3946,138.756,4061.12,22481529,44.9631
[CSV]hypergirgs,thomas-desktop,1,4000,2154434,100,0.6,2.2,0.9,30.6471,9700.67,123.546,278.263,9293,50843579,47.199
[CSV]hypergirgs,thomas-desktop,1,4010,4641588,100,0.6,2.2,0.9,32.1821,22578.4,289.782,589.883,21690.6,118859994,51.2152
[CSV]hypergirgs,thomas-desktop,1,4020,10000000,100,0.6,2.2,0.9,33.7172,51624.7,615.965,1233.25,49758.4,268539769,53.708
[CSV]hypergirgs,thomas-desktop,1,4060,21544,1000,0.6,2.2,0.9,16.8315,211.071,1.41403,6.37872,203.253,2078498,192.954
[CSV]hypergirgs,thomas-desktop,1,4070,46415,1000,0.6,2.2,0.9,18.3666,526.916,2.63121,10.8941,513.366,4975762,214.403
[CSV]hypergirgs,thomas-desktop,1,4080,100000,1000,0.6,2.2,0.9,19.9017,1342.73,5.63668,18.1913,1318.85,12838175,256.764
[CSV]hypergirgs,thomas-desktop,1,4090,215443,1000,0.6,2.2,0.9,21.4367,3437.05,12.6337,34.2566,3390.11,32337300,300.194
[CSV]hypergirgs,thomas-desktop,1,4100,464158,1000,0.6,2.2,0.9,22.9718,8364.45,27.5372,65.1222,8271.74,74647932,321.649
[CSV]hypergirgs,thomas-desktop,1,4110,1000000,1000,0.6,2.2,0.9,24.5068,20457,57.8935,125.901,20271.9,179569385,359.139
[CSV]hypergirgs,thomas-desktop,1,4120,2154434,1000,0.6,2.2,0.9,26.0419,49411.1,124.544,246.261,49035.4,417761362,387.815
[CSV]hypergirgs,thomas-desktop,1,4130,4641588,1000,0.6,2.2,0.9,32.7661,19741.2,292.284,604.6,18835.7,94173465,40.5781
[CSV]hypergirgs,thomas-desktop,1,4140,10000000,1000,0.6,2.2,0.9,33.0299,63954.9,622.754,1218.9,62096.6,374967055,74.9934
[CSV]hypergirgs,thomas-desktop,1,4180,10000,10,1,3,0.9,20.1124,22.3002,0.644722,6.55947,15.0731,31002,6.2004
[CSV]hypergirgs,thomas-desktop,1,4190,21544,10,1,3,0.9,21.6474,43.3595,1.25286,9.32617,32.772,70120,6.50947
[CSV]hypergirgs,thomas-desktop,1,4200,46415,10,1,3,0.9,23.1825,87.1562,2.24843,12.7042,72.195,159636,6.87864
[CSV]hypergirgs,thomas-desktop,1,4210,100000,10,1,3,0.9,24.7176,193.151,4.90081,19.8171,168.423,358062,7.16124
[CSV]hypergirgs,thomas-desktop,1,4220,215443,10,1,3,0.9,26.2526,397.268,10.2086,35.4933,351.538,786996,7.30584
[CSV]hypergirgs,thomas-desktop,1,4230,464158,10,1,3,0.9,27.7877,843.263,22.2842,64.9588,755.969,1754394,7.55947
[CSV]hypergirgs,thomas-desktop,1,4240,1000000,10,1,3,0.9,29.3227,1811.3,48.6278,132.364,1628.82,3857763,7.71553
[CSV]hypergirgs,thomas-desktop,1,4250,2154434,10,1,3,0.9,30.8578,3946.91,106.993,280.438,3553.57,8540718,7.9285
[CSV]hypergirgs,thomas-desktop,1,4260,4641588,10,1,3,0.9,32.3928,8531.05,249.817,587.113,7685.73,18800609,8.10094
[CSV]hypergirgs,thomas-desktop,1,4270,10000000,10,1,3,0.9,33.9279,18469.3,530.961,1228.26,16693.2,41213688,8.24274
[CSV]hypergirgs,thomas-desktop,1,4280,21544346,10,1,3,0.9,35.463,40777.5,1147.74,2649.97,36943.1,90518089,8.40296
[CSV]hypergirgs,thomas-desktop,1,4290,46415888,10,1,3,0.9,36.998,89043,2465.05,5673.67,80829.6,197965441,8.53007
[CSV]hypergirgs,thomas-desktop,1,4300,100000000,10,1,3,0.9,38.5331,192098,5292.05,12200.9,174454,432959559,8.65919
[CSV]hypergirgs,thomas-desktop,1,4310,10000,100,1,3,0.9,15.5072,39.0172,0.737691,4.02097,34.2336,250183,50.0366
[CSV]hypergirgs,thomas-desktop,1,4320,21544,100,1,3,0.9,17.0422,88.1134,1.27651,6.04355,80.7853,582188,54.0464
[CSV]hypergirgs,thomas-desktop,1,4330,46415,100,1,3,0.9,18.5773,203.711,2.69466,9.60268,191.389,1369785,59.0234
[CSV]hypergirgs,thomas-desktop,1,4340,100000,100,1,3,0.9,20.1124,456.087,5.63537,17.2591,433.161,3105005,62.1001
[CSV]hypergirgs,thomas-desktop,1,4350,215443,100,1,3,0.9,21.6474,1030.2,10.9113,34.6395,984.617,6984415,64.8377
[CSV]hypergirgs,thomas-desktop,1,4360,464158,100,1,3,0.9,23.1825,2369.95,22.5398,60.5497,2286.81,15991633,68.906
[CSV]hypergirgs,thomas-desktop,1,4370,1000000,100,1,3,0.9,24.7176,5353.92,48.1203,121.22,5183.1,35448518,70.897
[CSV]hypergirgs,thomas-desktop,1,4380,2154434,100,1,3,0.9,26.2526,12206.3,105.59,244.684,11851.2,79036361,73.3709
[CSV]hypergirgs,thomas-desktop,1,4390,4641588,100,1,3,0.9,27.7877,27904.9,250.624,508.074,27138.6,175531625,75.6343
[CSV]hypergirgs,thomas-desktop,1,4400,10000000,100,1,3,0.9,29.3227,63130.4,534.36,1068.64,61511.4,387109089,77.4218
[CSV]hypergirgs,thomas-desktop,1,4410,21544346,100,1,3,0.9,30.8578,143457,1138.69,2292.42,139986,854436342,79.3188
[CSV]hypergirgs,thomas-desktop,1,4440,21544,1000,1,3,0.9,12.4371,471.691,1.40162,4.15511,466.112,4537864,421.265
[CSV]hypergirgs,thomas-desktop,1,4450,46415,1000,1,3,0.9,13.9721,1205.57,2.68855,7.2314,1195.62,11004975,474.199
[CSV]hypergirgs,thomas-desktop,1,4460,100000,1000,1,3,0.9,15.5072,2974.69,5.72182,13.865,2955.07,25841112,516.822
[CSV]hypergirgs,thomas-desktop,1,4470,215443,1000,1,3,0.9,17.0423,7201.08,12.6666,26.6044,7161.8,59655597,553.795
[CSV]hypergirgs,thomas-desktop,1,4480,464158,1000,1,3,0.9,18.5773,16998.7,26.4965,58.7647,16913.4,136563346,588.435
[CSV]hypergirgs,thomas-desktop,1,4490,1000000,1000,1,3,0.9,20.1124,40117.1,56.6032,126.699,39932.5,313404298,626.809
[CSV]hypergirgs,thomas-desktop,1,4500,2154434,1000,1,3,0.9,21.6474,93211,114.256,270.861,92820.9,706686440,656.03
[CSV]hypergirgs,thomas-desktop,1,4510,4641588,1000,1,3,0.9,28.3717,21954.2,251.946,512.231,21182.6,132192897,56.9602
[CSV]hypergirgs,thomas-desktop,1,4520,10000000,1000,1,3,0.9,28.6355,84480.5,534.561,1060.73,82868.9,539813630,107.963
[CSV]hypergirgs,thomas-desktop,2,4560,10000,10,0.6,2.2,0,19.2056,5.85434,0.630677,1.63425,3.58657,49881,9.9762
[CSV]hypergirgs,thomas-desktop,2,4570,21544,10,0.6,2.2,0,20.8558,12.4597,1.327,3.15567,7.97168,102639,9.52831
[CSV]hypergirgs,thomas-desktop,2,4580,46415,10,0.6,2.2,0,22.4896,23.8385,2.69295,5.73529,15.39,215990,9.30691
[CSV]hypergirgs,thomas-desktop,2,4590,100000,10,0.6,2.2,0,24.112,49.785,6.2977,10.7845,32.6981,481980,9.6396
[CSV]hypergirgs,thomas-desktop,2,4600,215443,10,0.6,2.2,0,25.7171,109.011,13.4662,23.3012,72.2384,1017943,9.44977
[CSV]hypergirgs,thomas-desktop,2,4610,464158,10,0.6,2.2,0,27.3193,229.297,27.2239,53.0539,149.014,2421353,10.4333
[CSV]hypergirgs,thomas-desktop,2,4620,1000000,10,0.6,2.2,0,28.9054,568.431,57.0409,118.033,391.94,4659568,9.31914
[CSV]hypergirgs,thomas-desktop,2,4630,2154434,10,0.6,2.2,0,30.488,1201.06,124.518,255.788,814.866,10471948,9.7213
[CSV]hypergirgs,thomas-desktop,2,4640,4641588,10,0.6,2.2,0,32.0655,2542.76,293.369,564.361,1676.96,22054517,9.50301
[CSV]hypergirgs,thomas-desktop,2,4650,10000000,10,0.6,2.2,0,33.6363,5412.73,615.988,1206.95,3572.69,48839182,9.76784
[CSV]hypergirgs,thomas-desktop,2,4660,21544346,10,0.6,2.2,0,35.2051,11290,1222.82,2594.48,7437.77,105253619,9.77088
[CSV]hypergirgs,thomas-desktop,2,4670,46415888,10,0.6,2.2,0,36.7676,24524.6,2550.55,5645.87,16255.4,239999320,10.3413
[CSV]hypergirgs,thomas-desktop,2,4680,100000000,10,0.6,2.2,0,38.3262,51339.1,5382.48,12178.8,33625.4,495129435,9.90259
[CSV]hypergirgs,thomas-desktop,2,4690,10000,100,0.6,2.2,0,14.0942,7.67914,0.659114,1.4459,5.57153,458861,91.7722
[CSV]hypergirgs,thomas-desktop,2,4700,21544,100,0.6,2.2,0,15.8307,16.7239,1.33121,3.20759,12.1822,1017394,94.448
[CSV]hypergirgs,thomas-desktop,2,4710,46415,100,0.6,2.2,0,17.531,36.0186,3.51484,6.11687,26.3819,2157382,92.9606
