[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]thomas-desktop,1,NkOpt,10000000,10,1,3,29.5022,0.0,6562.19,50002778,10.0006
[CSV]thomas-desktop,1,NkOpt,21544346,10,1,3,31.0374,0.0,13838.8,107724941,10.0003
[CSV]thomas-desktop,1,NkOpt,46415888,10,1,3,32.5725,0.0,31927.1,231730349,9.98496
[CSV]thomas-desktop,1,NkOpt,100000000,10,1,3,34.1046,0.0,74877.2,500753071,10.0151
[CSV]thomas-desktop,1,NkOpt,10000,100,1,3,11.0622,0.0,15.2019,514343,102.869
[CSV]thomas-desktop,1,NkOpt,10000,100,1,3,11.0622,0.0,15.4667,501816,100.363
[CSV]thomas-desktop,1,NkOpt,21544,100,1,3,12.6063,0.0,33.6632,1083551,100.59
[CSV]thomas-desktop,1,NkOpt,46415,100,1,3,14.1455,0.0,69.4425,2240739,96.5524
[CSV]thomas-desktop,1,NkOpt,100000,100,1,3,15.683,0.0,148.28,5049696,100.994
[CSV]thomas-desktop,1,NkOpt,215443,100,1,3,17.2191,0.0,311.817,10851328,100.735
[CSV]thomas-desktop,1,NkOpt,464158,100,1,3,18.7545,0.0,689.018,23183706,99.8958
[CSV]thomas-desktop,1,NkOpt,1000000,100,1,3,20.2899,0.0,1425.75,50136096,100.272
[CSV]thomas-desktop,1,NkOpt,2154434,100,1,3,21.825,0.0,3132.24,107867998,100.136
[CSV]thomas-desktop,1,NkOpt,4641588,100,1,3,23.36,0.0,6997.61,231796456,99.8781
[CSV]thomas-desktop,1,NkOpt,10000000,100,1,3,24.8951,0.0,15736,500888672,100.178
[CSV]thomas-desktop,1,NkOpt,21544346,100,1,3,26.4301,0.0,33285.5,1079342193,100.197
[CSV]thomas-desktop,1,NkOpt,46415888,100,1,3,27.9655,0.0,73466,2320144274,99.972
[CSV]thomas-desktop,1,NkOpt,100000000,100,1,3,29.5006,0.0,163577,4998555306,99.9711
[CSV]thomas-desktop,1,NkOpt,21544,1000,1,3,7.93843,0.0,212.892,10789433,1001.62
[CSV]thomas-desktop,1,NkOpt,46415,1000,1,3,9.50959,0.0,437.71,22684613,977.469
[CSV]thomas-desktop,1,NkOpt,100000,1000,1,3,11.0624,0.0,977.893,50855121,1017.1
[CSV]thomas-desktop,1,NkOpt,215443,1000,1,3,12.6062,0.0,2092.45,108442941,1006.7
[CSV]thomas-desktop,1,NkOpt,464158,1000,1,3,14.1456,0.0,4539.45,232194444,1000.5
[CSV]thomas-desktop,1,NkOpt,1000000,1000,1,3,15.6828,0.0,9673.1,501357379,1002.71
[CSV]thomas-desktop,1,NkOpt,2154434,1000,1,3,17.2189,0.0,20652.1,1074318566,997.309
[CSV]thomas-desktop,1,NkOpt,4641588,1000,1,3,18.7545,0.0,44879.2,2326268669,1002.36
[CSV]thomas-desktop,1,NkOpt,10000000,1000,1,3,20.2899,0.0,97321.3,4993602150,998.72
[CSV]thomas-desktop,1,NkOpt,21544346,1000,1,3,21.8251,0.0,208293,10780408360,1000.76
[CSV]thomas-desktop,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.69133,53666,10.7332
[CSV]thomas-desktop,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,4.99281,46544,9.3088
[CSV]thomas-desktop,2,NkOpt,21544,10,0.6,2.2,20.8558,0.0,10.1666,91780,8.52024
[CSV]thomas-desktop,2,NkOpt,46415,10,0.6,2.2,22.4896,0.0,22.8937,231798,9.98806
[CSV]thomas-desktop,2,NkOpt,100000,10,0.6,2.2,24.112,0.0,51.8334,501357,10.0271
[CSV]thomas-desktop,2,NkOpt,215443,10,0.6,2.2,25.7171,0.0,114.232,977982,9.0788
[CSV]thomas-desktop,2,NkOpt,464158,10,0.6,2.2,27.3193,0.0,264.718,2435456,10.4941
[CSV]thomas-desktop,2,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,544.937,4840506,9.68101
[CSV]thomas-desktop,2,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1276.96,10168864,9.43994
[CSV]thomas-desktop,2,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3026.69,22929892,9.88019
[CSV]thomas-desktop,2,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,7023.17,50698864,10.1398
[CSV]thomas-desktop,2,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,14921.8,107537685,9.98291
[CSV]thomas-desktop,2,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,34484.9,223445655,9.62798
[CSV]thomas-desktop,2,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,79388.9,483576576,9.67153
[CSV]thomas-desktop,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.373,523622,104.724
[CSV]thomas-desktop,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.2235,534988,106.998
[CSV]thomas-desktop,2,NkOpt,21544,100,0.6,2.2,15.8307,0.0,33.0612,1023115,94.9791
[CSV]thomas-desktop,2,NkOpt,46415,100,0.6,2.2,17.531,0.0,73.2511,2275802,98.0632
[CSV]thomas-desktop,2,NkOpt,100000,100,0.6,2.2,19.2046,0.0,152.848,4687053,93.7411
[CSV]thomas-desktop,2,NkOpt,215443,100,0.6,2.2,20.8564,0.0,340.484,10673617,99.0853
[CSV]thomas-desktop,2,NkOpt,464158,100,0.6,2.2,22.4907,0.0,766.436,23991213,103.375
[CSV]thomas-desktop,2,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1568.59,49652350,99.3047
[CSV]thomas-desktop,2,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3409.66,103776848,96.3379
[CSV]thomas-desktop,2,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,7772.36,232451012,100.16
[CSV]thomas-desktop,2,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,17138.2,494379216,98.8758
[CSV]thomas-desktop,2,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,37178.9,1094491499,101.604
[CSV]thomas-desktop,2,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,80392.4,2262608577,97.4928
